improve_diplomatical_education;Seek a Tutor;Chercher un tuteur.;Einen Lehrer suchen;;Buscar a un tutor.;;;;;;;;;x
EVTDESCEDUIMP2;Starting with the most basic protocols of holding court, [From.GetFirstName] begins to mentor you through the many complexities of how to carry oneself as a [Root.GetTitle]. Your head is spinning, but [From.GetFirstName] is relentless and does not allow you to rest. ;En débutant par les protocoles les plus élémentaires du savoir-vivre de la cour, [From.GetFirstName] commence à vous guider parmi les nombreuses complexités de la façon de se tenir en tant que [Root.GetTitle]. La tête vous tourne, mais [From.GetFirstName] est implacable et ne vous permet aucune pause.;Beginnend, mit den grundlegendsten Lektionen darüber, wie man einen Hof führt, begleitet Euch [From.GetFirstName] durch die verschiedensten Bereiche, um Euch als [Root.GetTitle] darzubieten. Euch brummt der Schädel, aber [From.GetFirstName] ist unerbittlich, und erlaubt Euch keine Rast.;;A partir de los protocolos más básicos de la celebración de la corte, [From.GetFirstName] comienza a guiarte a través de las muchas complejidades de cómo conducirse a uno mismo como un [Root.GetTitle]. Tu cabeza da vueltas, pero [From.GetFirstName] es implacable y no te permite descansar.;;;;;;;;;x
eduimp2opt;In what have I wronged thee that thou tormentest me so? ;Quelle faute ai-je commise à votre égard pour que vous me harceliez ainsi ?;Womit habe ich diese Schikane nur verdient?;;¿En qué te he ofendido para que tú me atormentes así?.;;;;;;;;;x
EVTDESCEDUIMP4;After months of gentle but firm counsel by [From.GetFirstName], you are now no longer a laughingstock amongst your peers and subjects. Your skill at presenting yourself has increased considerably and you can now command attention with your presence and words. ;Après des mois de nobles mais fermes conseils dispensé par [From.GetFirstName], vous n'êtes maintenant plus la risée que vous étiez parmi vos pairs et vos sujets. Votre habileté à vous présenter s'est considérablement accrue et vous retenez désormais l'attention par votre présence et vos paroles.;Nach Monaten der freundlichen aber bestimmten Beratung von [From.GetFirstName], seid Ihr nun nicht mehr das Gespött unter den hohen Adeligen und Euren Untertanen. Eure Fähigkeiten Euch darzubieten, hat sich erheblich verbessert und Ihr könnt nun durch Eure Worte die Aufmerksamkeit beherrschen.;;Después de meses de consejos suaves pero firmes dados por [From.GetFirstName], ahora ya no eres un hazmerreír entre tus corte y los extranjeros. Tu habilidad en la presentación de tí mismo ha aumentado considerablemente y ahora puedes llamar la atención con tus palabras y presencia.;;;;;;;;;x
eduimp4opt;Hear ye my words! ;Entendez donc mes paroles !;Höret meine Worte!;;¡Oíd mis palabras!.;;;;;;;;;x
EVTDESCEDUIMP5;Due to recent events, your tutor can no longer continue teaching you the ways of an effective diplomat. Although you have learned much, there is much more that you cannot understand without further guidance. Your studies have been terminated for the time being.;Au vu des récents événements, votre tuteur ne peut plus continuer à vous enseigner les astuces pour devenir un diplomate efficace. Bien que vous ayez beaucoup appris, il y a bien plus encore que vous ne pouvez comprendre sans autres conseils. Vos études ont pris fin pour le moment.;Aus aktuellem Anlass kann Euer Lehrer Euch nicht mehr weiter in den Wegen der wirkungsvollen Diplomatie unterrichten. Obwohl Ihr einiges gelernt habt, gibt es doch viel mehr, dass Ihr nicht ohne weitere Anleitung zu verstehen vermögt. Eure Studien sind vorerst beendet.;;Debido a los recientes acontecimientos, tu tutor ya no puede seguirte enseñando los caminos de un diplomático eficaz. A pesar de que has aprendido mucho, hay mucho más que no se puede entender sin orientación. Tus estudios han terminado por el momento.;;;;;;;;;x
eduimp5opt;Unfortunate. ;C'est regrettable...;Beklagenswert …;;Lamentable.;;;;;;;;;x
EVTDESCEDUIMP7;[From.GetFirstName] has never been a particularly pleasant character, but [From.GetHerHis] explanation of human behaviors and nature opens your eyes to the lies and deceit circling about you at court. Furthermore, you begin to learn about the deadliest poisons and surefire ways to cover up a murder or an accident... all to protect yourself, of course.;[From.GetFirstName] n'a jamais semblé posséder un caractère plaisant, mais ses explications sur les comportements humains et leur nature révèlent les mensonges et tromperies circulant au sein de la cour. De plus, vous commencez à en apprendre davantage sur les poisons les plus mortels et les moyens infaillibles pour se prémunir des conséquences d'un assassinat ou accident... dans le but de vous protéger, bien évidemment.;[From.GetFirstName] hatte zwar nie eine besonders angenehme Persönlichkeit, aber [From.GetHerHis]e Erläuterungen des menschlichen Wesens und Verhaltens, öffnen Euch die Augen für die Lügen und Täuschungen, die auf dem Hofe kursieren. Darüber hinaus beginnt Ihr, mehr über die tödlichsten Gifte zu erfahren und lernt todsichere Möglichkeiten, einen Mord oder einen Unfall zu vertuschen ... alles um Euch selbst zu schützen, versteht sich.;;[From.GetFirstName] nunca ha sido un personaje particularmente agradable, pero la explicación de [From.GetHerHis] acerca de los comportamientos humanos y la naturaleza te abre los ojos a las mentiras y engaños que circundan tu corte. Además, comienzas a aprender acerca de los venenos más mortales y las maneras de éxito seguro para encubrir un asesinato o un accidente ... todo para protegerse, por supuesto..;;;;;;;;;x
eduimp7opt;No one will ever be able to hurt me! ;Personne ne pourra jamais plus me faire du mal !;Niemand wird je in der Lage sein, mir etwas zuleide zu tun.;;¡Nadie va a ser capaz de hacerme daño!.;;;;;;;;;x
EVTDESCEDUIMP9;After months of firm counsel and guidance from [From.GetFirstName], you see through the lies of your courtiers and vassals with ease. You have an ear on all the latest gossip and people do not even blink without your knowing of it. ;Après des mois de fermes conseils dispensé par [From.GetFirstName], vous voyez au travers des mensonges de vous courtisans et de vos vassaux aisément. Votre oreille est à l'affût des toutes dernières rumeurs et personne ne se doute de ce que vous savez.;Nach Monaten der Beratung und Anleitung von [From.GetFirstName], durchschaut Ihr die Lügen der Höflinge und Vasallen mit Leichtigkeit. Ihr habt immer ein offenes Ohr für das neueste Gemunkel und die Leute können nicht einmal blinzeln, ohne dass Ihr davon erfahrt.;;Después de meses de firme consejo y guía por parte de [From.GetFirstName], ves através de las mentiras de tus cortesanos y vasallos con mayor facilidad. Tienes un oído en todos los últimos chismes y la gente ni siquiera puede parpadear sin que tu sepas de ello.;;;;;;;;;x
eduimp9opt;No secret whispered will ever escape me! ;Aucun secret ni murmure ne m'échappera !;Kein Geheimnis wird mir jemals entgehen.;;¡Ningún secreto ni susurró se me escapara!.;;;;;;;;;x
EVTDESCEDUIMP10;Due to recent events, your tutor can no longer continue guiding you in the ways of the shadows. Although you have learned much, there is much more that you cannot understand without further guidance. Your studies have been terminated for the time being.;Au vu des récents événements, votre tuteur ne peut plus continuer à vous guider sur le chemin des ombres. Bien que vous ayez beaucoup appris, il y a bien plus encore que vous ne pouvez comprendre sans autres conseils. Vos études ont pris fin pour le moment.;Aus aktuellem Anlass kann Euer Lehrer Euch nicht mehr weiter auf den Pfaden der Schatten anleiten. Obwohl Ihr einiges gelernt habt, gibt es doch viel mehr, dass Ihr nicht ohne weitere Anleitung zu verstehen vermögt. Eure Studien sind vorerst beendet.;;Debido a los recientes acontecimientos, tu tutor ya no puede seguirte guiando en el camino de las sombras. A pesar de que has aprendido mucho, hay mucho más que no se puede entender sin mayor orientación. Tus estudios se han terminado por el momento.;;;;;;;;;x
eduimp10opt;I will one day no longer fear the dark. ;Un jour, je ne craindrai plus l'obscurité.;Eines Tages werde ich die Dunkelheit nicht mehr fürchten.;;¡Algun día no voy más a temer a la oscuridad!.;;;;;;;;;x
EVTDESCEDUIMP12;The first order of business is to send men throughout your demesne to compile a full account of everything you own in your estates. It is almost staggering to comprehend that you have that much to begin with, but [From.GetFirstName] insists that you account for every acre of land you own. ;Le premier ordre du jour est d'envoyer vos hommes aux quatres coins de votre domaine pour compiler et référencer la totalité de vos possessions. Il est difficile d'appréhender que vous possèdiez autant au début, mais [From.GetFirstName] insiste pour consigner chaque acre de terre en votre possession.;Eure erste Aufgabe ist es, Männer in alle Bereiche Eures Reiches zu entsenden, um einen vollständigen Bericht über all Eure Besitztümer zusammenzustellen. Es ist eine niederschmetternd große Aufgabe für den Anfang, aber [From.GetFirstName] besteht darauf, dass Ihr jeden einzelnen Hektar Land, den Ihr Euer Eigen nennt, erfasst.;;La primera orden del día es el envío de los hombres a lo largo de tu heredad para compilar un informe completo de todo lo que posees en tus fincas. Es casi asombroso comprender que tienes mucho para empezar, pero [From.GetFirstName] insiste en que tu lleves la cuenta de cada acre de tierra de tu propiedad.;;;;;;;;;x
eduimp12opt;So that's where all the taxes were hiding... ;Oh, c'est donc de là que viennent les taxes...;Ach, daher kommen also all diese Steuern …;;Así que ahí es donde todos los impuestos se escondían ...;;;;;;;;;x
EVTDESCEDUIMP14;After months of firm counsel and guidance from [From.GetFirstName], you have gained the knowledge necessary to manage the realm more efficiently. This means that the quality of life and happiness of your people has improved, but the only thing that really matters is that tax revenues have increased significantly. ;Après des mois de nobles mais fermes conseils dispensé par [From.GetFirstName], vous avez acquis les connaissances nécessaires pour gérer votre domaine plus efficacement. Cela signifie que la qualité de vie et le bonheur de vos sujets s'est améliorée, mais la seule chose qui importe vraiment, c'est l'augmentation significative des recettes fiscales.;Nach Monaten der Beratung und Anleitung von [From.GetFirstName], habt Ihr Euch das Wissen angeeignet, um Euer Reich noch wirkungsvoller zu verwalten. Das bedeutet, dass sich die Zufriedenheit Eurers Volkes verbessert und sich Eure Steuereinnahmen erheblich erhöht haben. Was könnte wichtiger sein?;;Después de meses de consejo y de firme orientación de [From.GetFirstName],has adquirido los conocimientos necesarios para administrar el reino de manera más eficiente. Esto significa que la calidad de vida y la felicidad de tu gente han mejorado, pero la única cosa que realmente importa es que los ingresos fiscales se han incrementado significativamente.;;;;;;;;;x
eduimp14opt;I had no idea I could have this much gold! ;Je n'avais aucune idée que je pourrais obtenir autant d'or !;Ich wusste nicht, dass ich so viel Gold haben könnte.;;¡No tenía idea de que podía tener esta cantidad de oro!.;;;;;;;;;x
EVTDESCEDUIMP15;Due to recent events, your tutor can no longer continue developing your administrative abilities. Although you have learned much, there is much more that you cannot understand without further guidance. Your studies have been terminated for the time being.;Au vu des récents événements, votre tuteur ne peut plus continuer à vous aider à comprendre les rouages administratifs. Bien que vous ayez beaucoup appris, il y a bien plus encore que vous ne pouvez comprendre sans autres conseils. Vos études ont pris fin pour le moment.;Aus aktuellem Anlass kann Euer Lehrer sich Euren Verwaltungsfähigkeiten nicht mehr weiter widmen. Obwohl Ihr einiges gelernt habt, gibt es doch viel mehr, dass Ihr nicht ohne weitere Anleitung zu verstehen vermögt. Eure Studien sind vorerst beendet.;;Debido a los recientes acontecimientos, tu tutor ya no puede seguir desarrollando tus habilidades administrativas. A pesar de que has aprendido mucho, hay mucho más que no se puede entender sin mayor orientación. Tus estudios se han terminado por el momento.;;;;;;;;;x
eduimp15opt;Wise counsel is greater even than the finest gold. ;De sages conseils valent plus que tout l'or du monde.;Mein weiser Berater, Ihr seid wertvoller als das feinste Gold.;;Un sabio consejo es mayor incluso que el oro más fino.;;;;;;;;;x
EVTDESCCASGAR5;A foreign dignitary has arrived at your court and wishes to relay his lord's assurance of friendship and peace with you. He beckons to a servant, who presents you with a rather exotic plant. It does not look like much, but denying the gesture would be seen as an insult. ;Un dignitaire est arrivé à votre cour et souhaite transmettre l'assurance d'amitié et de paix  de son seigneur envers vous. Il transmet une plante exotique à un serviteur qui vous la présente. Cela paraît peu, mais refuser le geste serait perçu comme une insulte.;Ein ausländischer Würdenträger ist an Eurem Hof eingetroffen und möchte die Zusicherung seines Lehnsherren von Freundschaft und Frieden an Euch übermittelt. Er winkt seinem Diener, der Euch eine exotische Pflanze präsentiert. Es sieht vielleicht nicht nach viel aus, aber diese Geste abzulehnen, würde als Beleidigung angesehen werden.;;Un dignatario extranjero ha llegado a tu corte y desea transmitir la garantía de su señor de amistad y paz con vosotros. Él hace señas a un criado, que se presenta con una planta más bien exótica. No parece mucho, pero negar el gesto sería visto como un insulto.;;;;;;;;;x
casgar5opt1;I gratefully accept your lord's most gracious gift. ;J'accepte avec gratitude le grâcieux cadeau de votre seigneur.;Ich nehme dankbar das gütige Geschenk Eures Herrn an.;;Acepto con gratitud el regalo generoso de tu señor.;;;;;;;;;x
casgar5opt2;I have no need for such a thing. ;Je n'ai pas besoin d'une telle chose.;Ich habe für so etwas keine Verwendung.;;No tengo ninguna necesidad de tal cosa..;;;;;;;;;x
casgar5opt3;I shall leave it in the care of my best gardener. ;Je vais laisser cette plante entre les mains de mon jardinier.;Ich sollte sie der Obhut meines besten Gärtners überlassen.;;Voy a dejarlo al cuidado de mi mejor jardinero.;;;;;;;;;x
EVTDESCCASGAR6;You have taken it upon yourself to take care of such a precious gift and plant it in the least traversed part of your garden so no one can disturb it. After a few days of painstaking care, however, you notice that some of the leaves have started to wilt. ;Vous avez pris sur vous de prendre soin d'un don aussi précieux et l'avez mis en terre dans la partie la moins fréquentée de votre jardin afin de l'abriter des autres. Cependant, après quelques jours de soins minutieux, vous remarquez que quelques feuilles ont commencé a se flétrir.;Ihr habt es auf Euch genommen, Euch um ein so kostbares Geschenk zu kümmern und pflanzt das Gewächs in den am wenigsten durchquerten Teil Eures Gartens ein, so dass es niemand stören kann. Nach ein paar Tagen mühseliger Pflege bemerkt Ihr jedoch, dass einige der Blätter begonnen haben, zu welken.;;Has tomado sobre tí mismo el cuidado de un regalo tan precioso y la plantas en la parte menos concurrida del jardín para que nadie pueda perturbarla. Después de unos días de esmerado cuidado, sin embargo, observas que algunas de las hojas han comenzado a marchitarse.;;;;;;;;;x
casgar6opt1;Perhaps it needs more water. ;Peut être qu'elle a besoin de plus d'eau.;Vielleicht braucht es nur mehr Wasser.;;Tal vez necesitaria más agua.;;;;;;;;;x
casgar6opt2;It might be better to leave it alone for now. ;Il pourrait être préférable de la laisser seule pour l'instant.;Ich sollte es jetzt wohl besser zufriedenlassen.;;Tal vez sería mejor dejarla sola por ahora.;;;;;;;;;x
casgar6opt3;Perhaps some urine or feces from the stables would help. ;Peut être quelques urines et selles des écuries l'aideraient.;Vielleicht hilft ja etwas Seiche oder ein paar Exkremente aus den Ställen.;;Tal vez un poco de orina o heces de los establos ayudarían..;;;;;;;;;x
EVTDESCCASGAR7;Unfortunately, the plant seems to be unfit to grow in these lands and has withered and died. You quietly dispose of the plant to save yourself any further embarrassment. ;Malheureusement, la plante semble inapte à s'épanouir sur ces terres, se dessèche et meurt. Vous disposez discrètement de la plante pour vous épargner tout embarras supplémentaires.;Leider scheint die Pflanze in diesen Gegenden nicht zu gedeihen. Nachdem sie verwelkt ist, entsorgt Ihr sie, um Euch weitere Unannehmlichkeiten zu ersparen.;;Por desgracia, la planta parece ser incapaz de crecer en estas tierras y se ha marchitado y muerto. Tranquilamente te deshaces de la planta para ahorrarte cualquier vergüenza más.;;;;;;;;;x
casgar7opt;Curses!;Malédictions !;Verflucht!;;¡Maldición!.;;;;;;;;;x
EVTDESCCASGAR8;Under your care, the plant has thrived and begun to sprout multiple shoots. You are pleased that it is growing well, but it seems a little excessive that such a small plant could have that many branches. ;Sous votre garde, la plante s'est épanouie et a commencée à donner plusieurs pousses. Vous êtes heureux qu'elle grandisse bien, mais il semble un peu excessif que cette petite plante puisse posséder autant de branches.;Unter Eurer Obhut hat die Pflanze begonnen, zu gedeihen und mehrere Triebe auszuschlagen. Ihr seid froh, dass sie gut wächst, wenngleich es doch fast ein wenig übertrieben scheint, dass eine so kleine Pflanze so viele Triebe hervorbringen kann..;;Bajo tu cuidado, la planta ha prosperado y han comenzado a dar brotes múltiples.Estás satisfecho de que este creciendo bien, pero parece un poco excesivo que una planta tan pequeña pueda tener tantas ramas.;;;;;;;;;x
casgar8opt1;Perhaps it's supposed to grow like that. ;Peut être qu'elle doit se développer ainsi.;Möglicherweise soll sie so wachsen.;;Tal vez se supone que debe crecer de esa manera..;;;;;;;;;x
casgar8opt2;I should prune some of the branches so it looks nicer. ;Je vais devoir tailler quelques branches afin qu'elle soit plus agréable à regarder.;Ich sollte einige der Zweige beschneiden, damit es schöner aussieht.;;Debo podar algunas de las ramas para que se vea más bonito..;;;;;;;;;x
casgar8opt3;I know exactly which branches need to be pruned. ;Je sais exactement quelles branches doivent être taillées.;Ich weiß genau, welche Zweige beschnitten werden müssen.;;Sé exactamente que ramas deben ser podadas.;;;;;;;;;x
EVTDESCCASGAR9;Unfortunately, the plant's growth outpaced its ability to nourish itself, and a withered mess is all that is left of your magnificent gift. ;Malheureusement, la croissance de la plante a dépassé sa capacité nutritive, et un amas flétri est tout ce qui reste de votre magnifique cadeau.;Unglücklicherweise übertraf das Wachstum der Pflanze Ihre Fähigkeit, sich selbst zu ernähren. Ein verdorrtes Durcheinander ist alles, was von diesem großartigem Geschenk übrig geblieben ist.;;Desafortunadamente, el crecimiento de la planta superó su capacidad de alimentarse, y un lío de ramas marchitas es todo lo que queda de tu magnífico regalo.;;;;;;;;;x
casgar9opt;Curses!;Malédictions !;Verflucht!;;¡Maldición!.;;;;;;;;;x
EVTDESCCASGAR10;Despite your efforts, your pruning has done more harm than good and the plant's growth was stunted for a few weeks before it withered and died. ;Malgré vos efforts, votre élagage a fait plus de mal que de bien et votre plante connait un retard de croissance pendant quelques semaines avant qu'elle ne se dessèche et meurt.;Trotz Eurer Bemühungen, hat das Bescheneiden Eurer Pflanze mehr Schaden als Nutzen gebracht. Nachdem sie einige Wochen lang immer mehr verkümmerte, ist sie schließlich vollends eingegangen.;;A pesar de tus esfuerzos, la poda ha hecho más daño que bien y el crecimiento de la planta fue atrofiado por algunas semanas antes de que se marchitara y muriera.;;;;;;;;;x
casgar10opt;Curses!;Malédictions !;Verflucht!;;¡Maldición!.;;;;;;;;;x
EVTDESCCASGAR11;One day, while tending to your plant, you accidentally make a cut into the stalk of the plant. It begins to ooze a bright red liquid almost resembling blood. What madness is this? ;Un jour, alors que vous entretenez votre plante, vous entaillez accidentellement la tige. Un liquide rouge vif similaire à du sang commence à suinter. Quelle est cette folie ?;Eines Tages, als Ihr durch Euren Garten schlendert, verletzt Ihr versehentlich den Stängel Eurer Pflanze. Sie fängt an, eine leuchtend rote Flüssigkeit, fast wie Blut, abzusondern. Welch Wahnsinn ist das?;;Un día, mientras cuidas tu planta, accidentalmente haces un corte en su tallo. Se comienza a supurar un líquido parecido a la sangre casi de color rojo brillante. ¿Qué locura es esta?.;;;;;;;;;x
casgar11opt1;Kill it with fire!;Brûlez-là !;Verbrennt sie!;;¡Quemadla¡;;;;;;;;;x
casgar11opt2;Perhaps the lifeblood of the plant can bring health to me. ;Le sang de la plante peut probablement m'apporter la santé.;Vielleicht kann mir der Lebenssaft der Pflanze Gesundheit verschaffen.;;Tal vez el elemento vital de la planta puede ayudar a mi salud.;;;;;;;;;x
casgar11opt3;This resembles something that I have read about! ;Cela ressemble à quelque chose que j'ai lu !;Über so etwas habe ich schon einmal gelesen ...;;¡Esto se asemeja a algo que he leído!.;;;;;;;;;x
casgar11opt2tooltip;You harvest the sap and consume a small amount daily. After a while, you feel younger and stronger. ;Vous récoltez la sève et en avalez une petite quantité quotidienne. Après un certain temps, vous vous sentez plus jeune et plus fort.;Ihr sammelt den Saft und nehmt täglich etwas davon zu Euch. Nach einiger Zeit fühlt Ihr Euch jünger und stärker.;;Cosechas la savia y la consumes en una pequeña cantidad diaria. Después de un rato, te sientes más joven y más fuerte.;;;;;;;;;x
casgar11opt3tooltip;"You remember reading about ""dragon's blood"", a valuable resin secreted only by certain rare plants. Selling it could bring a hefty profit. ";"Vous vous souvenez d'une lecture sur le "sang-dragon", une résine précieuse sécrétée uniquement par certaines plantes rares. Sa vente pourrait rapporter gros...";"Ihr erinnert Euch daran, etwas über ""Das Drachenblut"" gelesen zu haben, dabei handelt es sich um ein wertvolles Harz, das nur von bestimmten seltenen Pflanzen ausgeschieden wird. Der Verkauf wäre sicher sehr gewinnbringend.";;"¿Te acuerdas que acabas de leer algo acerca de ""sangre de dragón"", una resina valiosa segregada sólo por ciertas plantas raras. La venta podría traer un beneficio fuerte.";;;;;;;;;x
casgar11opt4;Perhaps I should just leave it alone. ;Peut être devrais-je juste la laisser seule.;Vielleicht sollte ich sie besser in Ruhe lassen.;;Tal vez debería dejarla sola.;;;;;;;;;x
EVTDESCCASGAR12;The plant seems to have mysteriously bled itself to death. You are still not sure what happened, but it matters little since all you have to show for your labors is a dead plant. ;La plante semble s'être mystérieusement saignée à mort. Vous n'êtes pas sûr de ce qui s'est passé, mais peu importe puisqu'une plante morte est tout ce que vous avez à montrer de votre travail.;Aus unerklärlichen Gründen scheint sich Eure Pflanze selbst zu Tode geblutet zu haben. Ihr seid Euch immer noch nicht im Klaren, was genau passiert ist, da die Pflanze nun leider verwelkt ist, spielt das aber keine Rolle mehr.;;La planta parece haberse misteriosamente desangrado hasta morir. Todavía no estás seguro de lo que pasó, pero poco importa ya que todo lo que tienes para mostrar de tus trabajos es una planta muerta..;;;;;;;;;x
casgar12opt;Curses!;Malédictions !;Verflucht!;;¡Maldición!;;;;;;;;;x
EVTDESCCASGAR13;"By carefully limiting how much sap you extract from the plant, you are able to secure a steady supply for your personal use. News spreads of the rare and mysterious substance you now possess, and scholars from throughout the realm seek you out, willing to pay a small fortune in exchange for a vial of what the people are calling ""dragon's blood"". ";"En limitant soigneusement la quantité de sève à extraire de la plante, vous vous assurez un approvisionnement régulier pour votre usage personnel. La nouvelle concernant la substance rare et mystérieuse que vous possèdez désormais se propage, et des érudits de tout le domaine cherche à vous voir, prêt à payer une petite fortune en échange d'un flacon de ce que les gens apellent le "sang-dragon" ". ;Dadurch, dass Ihr die Menge des Saftes, den Ihr der Pflanze entnehmt, behutsam einschränkt, könnt Ihr eine beständige Versorgung für die persönliche Nutzung sicherstellen. Es kursieren Gerüchte über die geheimnisvolle Substanz die Ihr besitzt und Gelehrte aus dem gesamten Reich suchen Euch auf, bereit, Euch ein kleines Vermögen für eine Ampulle des Saftes, welches auch „Drachenblut“ genannt wird, zu bezahlen.;;"Por limitar cuidadosamente la cantidad de savia que se extrae de la planta, eres capaz de asegurar un suministro constante para tu uso personal. Las noticias de la rara y misteriosa sustancia que ahora posees se expanden, y académicos de todo el reino te buscan, dispuestos a pagar una pequeña fortuna a cambio de un vial de lo que el vulgo llama ""sangre de dragón"".";;;;;;;;;x
casgar13opt;A most precious gift! ;Un cadeau des plus précieux !;Welch kostbares Geschenk.;;¡Un regalo más precioso!.;;;;;;;;;x
EVTDESCCASGAR14;You decided a few days ago to hold a small feast at your castle, but the company has grown tiresome and you wish to escape the long-winded conversations happening in the banquet hall. Choosing to hide yourself in your hedge maze, you stop when you suddenly hear hushed voices. ;Il y a quelques jours, vous avez décidez de tenir une petite fête au château, mais cette assemblée vous est devenu pénible et vous souhaitez échapper aux conversations interminables dans la salle de banquet. Vous réfugiant dans votre labyrinthe de haies, vous vous arrêtez quand vous entendez soudainement des chuchotements.;Ihr habt Euch vor ein paar Tagen dafür entschieden, ein kleines Gelage auf Eurer Burg abzuhalten, doch schon bald ermüden Euch Eure Gäste und Ihr sehnt Euch danach, den langatmigen Gesprächen im Festsaal zu entfliehen. Als Ihr Euch in Eurem Heckenlabyrinth verstecken wollt, hört Ihr jedoch gedämpfte Stimmen.;;Has decidido hace unos días celebrar una pequeña fiesta en tu castillo, pero la compañía ha crecido tediosamente y deseas escapar de las lasrgas conversaciones que ocurren en el salón de banquetes. Eliges ocultarte a tí mismo en el laberinto de setos,te alejas de todos cuando de repente oyes susurros.;;;;;;;;;x
casgar14opt;Who could that be? ;Qui se touve là ?;Wer könnte das bloß sein?;;¿Quién puede ser?;;;;;;;;;x
