#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### ORDER OF THE VANIR ###
quest_robmod_war_focus;Focus on warfare;Focus sur la guerre;Konzentriere dich auf kriegsführung;;Enfoque en la guerra;;;;;;;;x
quest_robmod_war_focus_fallback;Focus on warfare;Focus sur la guerre;Konzentriere dich auf kriegsführung;;Enfoque en la guerra;;;;;;;;x
quest_robmod_war_focus_desc;The Kappi-Efstr believes you are not fully committed to the life of a warrior. Prove the Grand Champion wrong by changing your Focus to War.;Le Kappi-Efstr de $SOCIETY$ croit que you n'est pas pleinement engagé dans la vie d'un véritable guerrier. Prouvez le Grand Champion erroné en changeant votre Focus to War.;Die Kappi-Efstr von $SOCIETY$ Glaubt, dass Sie sich nicht voll und ganz dem Leben eines wahren Kriegers verpflichtet fühlen. Beweisen Sie den Grand Champion falsch, indem Sie Ihren Fokus zum Krieg ändern.;;El Kappi-Efstr de $SOCIETY$ cree que you no está completamente comprometido con la vida de un verdadero guerrero. Demuestre que el Gran Campeón está equivocado cambiando su Enfoque a la Guerra.;;;;;;;;x
quest_robmod_war_focus_tooltip;Change your Way of Life Focus to War. It might take a little while for the Grand Champion to notice this.;;;;;;;;;;;;x
quest_robmod_acquire_weapon;Acquire a weapon;Acquérir une arme;Erwerbe einer Waffe;;Adquiere un arma;;;;;;;;x
quest_robmod_acquire_weapon_fallback;Acquire a weapon;Acquérir une arme;Erwerbe einer Waffe;;Adquiere un arma;;;;;;;;x
quest_robmod_acquire_weapon_desc;The Grand Champion thinks you need better armaments to become a true Champion.;Le Grand Champion pense que vous avez besoin de meilleurs armements pour devenir un véritable champion.;Der Grand Champion denkt, du brauchst bessere Rüstungen, um ein wahrer Champion zu werden.;;El Gran Campeón cree que necesita mejores armamentos para convertirse en un verdadero campeón.;;;;;;;;x
quest_robmod_acquire_weapon_tooltip;Find a weapon (non-ceremonial weapon artifact) and equip it. If you are struggling to find one, a Rank 2 Champion can invite a weaponsmith to forge one for him - look in the §GIntrigue Screen§!. It may take a while once you have done this for the Grand Champion to contact you.;Trouver une arme (artéfact d'arme non-cérémonielle) et l'équiper;Finden Sie eine Waffe (nicht-zeremonielle Waffen-Artefakt) und rüste es aus;;Encuentra un arma (artefacto de arma no ceremonial) y equiéralo;;;;;;;;x
quest_robmod_viking_raid;Viking raid;Viking raid;Wikinger-Überfall;;Incursión vikingo;;;;;;;;x
quest_robmod_viking_raid_fallback;Viking raid;Viking raid;Wikinger-Überfall;;Incursión vikingo;;;;;;;;x
quest_robmod_viking_raid_desc;The Grand Champion has ordered you to prove yourself in a great Vikingr-Herji.;Le Grand Champion vous a commandé de vous prouver dans un grand Vikingr-Herji.;Der Großmeister hat dir befohlen, dich in einem großen Vikingr-Herji zu beweisen.;;El Gran Campeón te ha mandado probarte en un gran Vikingr-Herji.;;;;;;;;x
quest_robmod_viking_raid_tooltip;Sail a fleet laden with loot into a friendly port.;Naviguez une flotte chargée de butin dans votre capitale.;Segeln Sie eine Flotte mit Beute in Ihre Hauptstadt beladen.;;Vela una flota cargada de botín en su capital.;;;;;;;;x
quest_robmod_win_battle;Distinguish yourself in battle;Distinguez-vous dans la bataille;Unterscheide dich im Kampf;;Distinguirse en la batalla;;;;;;;;x
quest_robmod_win_battle_fallback;Distinguish yourself in battle;Distinguez-vous dans la bataille;Unterscheide dich im Kampf;;Distinguirse en la batalla;;;;;;;;x
quest_robmod_win_battle_desc;A true Champion of Miðgarðr leads men into battle. Prove yourself on the battlefield to gain the Kappi-Efstr's respect.;Un véritable champion de Miðgarðr conduit les hommes à la bataille. Prouvez-vous sur le champ de bataille pour obtenir le respect de Kappi-Efstr.;Ein wahrer Champion von Miðgarðr führt Männer in den Kampf. Beweisen Sie sich auf dem Schlachtfeld, um den Respekt des Kappi-Efstr zu gewinnen.;;Un verdadero campeón de Miðgarðr lleva a los hombres a la batalla. Prueba en el campo de batalla para ganar el respeto de Kappi-Efstr.;;;;;;;;x
quest_robmod_win_battle_tooltip;Fight in a number of battles to complete this quest. (There is a 1 in 4 chance per battle won with you leading the centre).;Combattez-vous dans de nombreuses batailles pour compléter cette quête. (Il y a 1 chance sur 4 par bataille gagnée avec vous qui dirige le centre).;Kämpfe in einer Reihe von Schlachten, um diese Quest zu vervollständigen. (Es gibt eine 1 in 4 Chance pro Schlacht gewonnen mit dir führend das Zentrum).;;Lucha en una serie de batallas para completar esta misión. (Hay una oportunidad de 1 en 4 por batalla ganada con usted que dirige el centro).;;;;;;;;x
quest_robmod_win_war;Win a war of aggression;Gagner une guerre d'agression;Gewinne einen Aggressionskrieg;;Gana una guerra de agresión;;;;;;;;x
quest_robmod_win_war_fallback;Win a war of aggression;Gagner une guerre d'agression;Gewinne einen Aggressionskrieg;;Gana una guerra de agresión;;;;;;;;x
quest_robmod_win_war_desc;It is unbecoming of a Kappi to be at peace for too long. Declare war on another character and take what you want.;Il est impassible qu'un Kappi soit en paix pendant trop longtemps. Déclarez la guerre à un autre personnage et prenez ce que vous voulez.;Es ist unnötig von einem Kappi, zu lange in Frieden zu sein. Erkläre den Krieg auf einen anderen Charakter und nehme was du willst.;;Es impropio de un Kappi estar en paz durante demasiado tiempo. Declare la guerra a otro personaje y tome lo que quiera.;;;;;;;;x
quest_robmod_win_war_tooltip;This quest will be completed around a week after you have won a war that you declared;Cette quête sera complétée une semaine après avoir gagné une guerre que vous avez déclarée;Diese Quest wird um eine Woche abgeschlossen sein, nachdem du einen Krieg gewonnen hast, den du deklariert hast;;Esta búsqueda se completará alrededor de una semana después de haber ganado una guerra que declaró;;;;;;;;x
;;;;;;;;;;;;;;x,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,
