#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### RELIGIOUS EVENTS ###
# FIRST RAVEN EVENTS #
EVTTITLE_ROBMODNORSE_00041;The Godslaws;Les lois des Dieux;Die Gesetze der Götter;;Las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00043;In a grand ceremony in [From.Capital.GetName], [From.GetFirstName]’s official coronation as Oðinshrafn is about to begin. The assemblage cheers as a newly forged and impressive Raven’s Crown is placed upon [From.GetHerHis] head, and [From.GetSheHe] is announced as [From.GetFirstNameWithNick] (First Raven). This epithet will be remembered forevermore, and all [From.GetHerHis] progeny shall live in the glory of [From.GetHerHis] great and pious deeds.;Dans une grande cérémonie dans [From.Capital.GetName], le couronnement officiel [From.GetFirstName] comme Oðinshrafn est sur le point de commencer. L'assemblage s'habille comme une couronne Raven récemment forgée et impressionnante est placée sur [From.GetHerHis] head, et [From.GetSheHe] est annoncé comme [From.GetFirstNameWithNick] (premier corbeau). Cette épithète sera rappelée à jamais pour l'instant, et toute la descendance [From.GetHerHis] vivra dans la gloire de [From.GetHerHis] les grands et pieux actes.;In einer großen Zeremonie in [From.Capital.GetName], [From.GetFirstName] 's offizielle Krönung als Oðinshrafn ist zu beginnen. Der Assemblage-Jubel als neu geschmiedete und eindrucksvolle Rabenkrone wird auf [From.GetHerHis] Kopf gelegt und [From.GetSheHe] wird als [From.GetFirstNameWithNick] (erster Rabe) angekündigt. Dieser Beiname wird für immer in Erinnerung bleiben, und alle Nachherin Nachkommen sollen in der Herrlichkeit von [From.GetHerHis] großen und frommen Taten leben.;;En una gran ceremonia en [From.Capital.GetName], [From.GetFirstName] la coronación oficial como Oðinshrafn está a punto de comenzar. La congregación alegra como una Corona de Raven recién forjada e impresionante se coloca sobre [From.GetHerHis] cabeza, y [From.GetSheHe] se anuncia como [From.GetFirstNameWithNick] (primer cuervo). Este epíteto será recordado para siempre, y toda descendencia de [From.GetHerHis] vivirá en la gloria de [From.GetHerHis] grandes y piadosos hechos.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00043;The Alfaðir smiles on [From.GetHerHis] Mightiness today.;L'Alfaðir sourit sur [From.GetTitledFirstName] aujourd'hui.;Der Alfaðir lächelt heute auf [From.GetTitledFirstName].;;El Alfaðir sonríe en [From.GetTitledFirstName] hoy.;;;;;;;;;x,,,,,,,,,,
# ESTABLISH THE NORSE MONASTIC ORDERS #
EVTTITLE_ROBMODNORSE_00044;Protectors of the Faithful;Protecteurs des fidèles;Beschützer der Gläubigen;;Protectores de los fieles;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00044;Reports mount of pious Beyðir coming under attack as they worship by those who refute the Guðalog and deny [Root.GetTitledFirstName]’s divine provenance. But a secretive order has emerged to protect the faithful, guarding shrines and rooting out the dissidents.\n\nThey call themselves the Eiðmenn (Oathsmen), and all have taken a solemn vow to put aside earthly concerns and defend the new faith. And now, the founder of the Order – known as [robmodnorse_oathwriter.GetFirstName] the Oathswriter – has arrived at your court to offer his service.;Les rapports montent de Beyðir pieux en train d'attaquer en adorant ceux qui réfutent le Guðalog et refusent la provenance divine de [Root.GetTitledFirstName]. Mais un ordre secret a émergé pour protéger les fidèles, surveiller les sanctuaires et éradiquer les dissidents. Ils s'appellent eux-mêmes Eiðmenn (hommes assermenté), et tous ont juré solennellement de mettre de côté les préoccupations terrestres et de défendre la nouvelle foi. Et maintenant, le fondateur de l'Ordre - connu sous le nom de [robmodnorse_oathwriter.GetFirstName] l'écrivain des serments - est arrivé à votre cour pour offrir son service.;Berichtet den Berg von frommen Beyðir, der unter Angriff kommt, wie sie von denen anbeten, die den Guðalog widerlegen und die göttliche Herkunft von Root.GetTitledFirstName verweigern. Aber eine geheimnisvolle Ordnung ist aufgetaucht, um die Gläubigen zu schützen, die Schreine zu bewachen und die Dissidenten zu verwurzeln. Sie nennen sich die Eiðmenn (Eidmenschen), und alle haben ein feierliches Gelübde genommen, um irdische Sorgen zu beiseite legen und den neuen Glauben zu verteidigen. Und jetzt ist der Begründer des Ordens - bekannt als [robmodnorse_oathwriter.GetFirstName] der Eidschreiber - an Ihren Hof angekommen, um seinen Dienst anzubieten.;;Los informes montan del beyðir piadoso que viene bajo ataque como adoran por los que refutan el Guðalog y niegan la proveniencia divina de [Root.GetTitledFirstName]. Pero un orden secreto ha surgido para proteger a los fieles, custodiando santuarios y erradicando a los disidentes. Se llaman a sí mismos Eiðmenn (los juramentados), y todos han tomado el voto solemne de dejar de lado las preocupaciones terrenales y defender la nueva fe. Y ahora, el fundador de la Orden - conocido como el escritor de juramentos - ha llegado a su corte para ofrecer su servicio.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00044;“Tell me more of your order, [robmodnorse_oathwriter.GetFirstName]!”;"Dites-moi plus votre ordre, [robmodnorse_oathwriter.GetFirstName]!";"Erzählen Sie mir mehr von Ihrer Bestellung, [robmodnorse_oathwriter.GetFirstName]!";;"Cuéntame más de tu orden, [robmodnorse_oathwriter.GetFirstName]!";;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00046;You spend many hours with [From.GetFirstNameWithNick], the founder of the Oathsmen. In his younger days he was a great Viking, but was captured during a raid of a Christian settlement. He travelled far after escaping his captors, visiting remote monasteries, there learning the ways of the monks. He respected their piety, but not their pacifism: “how can a man uphold his faith if he will not fight for it?”, he sneers. On his return to the Norselands, [From.GetFirstName] recruited followers to a new brotherhood of warrior monks – the Eiðmenn.;Vous passez plusieurs heures avec [From.GetFirstNameWithNick], le fondateur des hommes assermenté. Dans ses plus jeunes jours, il était un grand Viking, mais a été capturé lors d'un raid d'un établissement chrétien. Il a voyagé loin après avoir échappé à ses ravisseurs, en visitant des monastères éloignés, en apprenant les voies des moines. Il a respecté leur piété, mais pas leur pacifisme: «comment un homme peut-il défendre sa foi s'il ne lutte pas pour cela?», Dit-il en ricanant. À son retour dans les terres nordiques, [From.GetFirstName] a recruté des disciples à une nouvelle confrérie de moines guerriers - l'Eiðmenn.;Du verbringst viele Stunden mit [From.GetFirstNameWithNick], dem Gründer der Eidmänner. In seinen jüngeren Tagen war er ein großer Wikinger, wurde aber bei einem Überfall einer christlichen Siedlung gefangen genommen. Er reiste weit, nachdem er seinen Gefangenen entkommen war, um entfernte Klöster zu besichtigen und dort die Wege der Mönche zu lernen. Er respektierte ihre Frömmigkeit, aber nicht ihren Pazifismus: "Wie kann ein Mann seinen Glauben wahren, wenn er nicht dafür kämpfen wird?", Spottet er. Bei seiner Rückkehr in die nordischen Länder rekrutierte [From.GetFirstName] Anhänger einer neuen Bruderschaft der Krieger Mönche - der Eiðmenn.;;Pasas muchas horas con [From.GetFirstNameWithNick], el fundador de los juramentados. En su juventud era un gran Vikingo, pero fue capturado durante una incursión de un asentamiento cristiano. Viajó lejos después de escapar de sus captores, visitando monasterios remotos, allí aprendiendo las maneras de los monjes. Él respetaba su piedad, pero no su pacifismo: "¿cómo puede un hombre sostener su fe si no lucha por ella?", Se burla. A su regreso a las tierras nórdicas, [From.GetFirstName] reclutó seguidores a una nueva hermandad de monjes guerreros - el Eiðmenn.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00046;“But why do you all have one eye?”;"Mais pourquoi tu as tous un œil?";"Aber warum hast du alle ein Auge?";;-Pero ¿por qué todos tienen un solo ojo?;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00048;“Ah! Only the worthy may join the Eiðmenn,” [FromFrom.GetFirstName] replies with a toothless grin, before going on the explain the trials an aspirant Eiðmaðr undertakes to prove his worth. Known as the Þorfreista (Trials of Thor), they include tests of faith, strength and martial ability, and sound arduous indeed. But the ultimate test of devotion is the final trial, the Óðinnsfreist (Trial of Odin), wherein the aspirant must remove his own eye, as the Allfather did in search of wisdom.;"Ah! Seul le digne peut rejoindre l'Eiðmenn, "[FromFrom.GetFirstName] répond avec un sourire sans dents, avant d'aller sur l'explication des épreuves, un Eiðmaðr sera en mesure de prouver sa valeur. Connu sous le nom de Þorfreista (Essais de Thor), ils incluent des tests de foi, de force et de compétences martiales, et un son pénible en effet. Mais le test ultime de la dévotion est l'essai final, l'Óðinnsfreist (Trial of Odin), dans lequel l'aspirant doit enlever son œil, comme l'a fait Alfaðir en quête de sagesse.;"Ah! Nur der Würdige kann sich dem Eiðmenn anschließen, "Mit einem zahnlosen Grinsen antwortet er, bevor er die Versuche erläutern wird, ein Eiðmaðr verpflichtet sich, seinen Wert zu beweisen. Bekannt als die Þorfreista (Versuche von Thor), schließen sie Prüfungen des Glaubens, der Stärke und der kriegerischen Fähigkeit ein und klingen mühsam. Aber der letzte Test der Hingabe ist der letzte Versuch, der Óðinnsfreist (Trial of Odin), wobei der Aspirant sein eigenes Auge entfernen muss, wie der Alfaðir auf der Suche nach Weisheit war.;;¡Ah! Sólo los dignos pueden unirse al Eiðmenn, "[FromFrom.GetFirstName] responde con una mueca desdentada, antes de ir a explicar los ensayos que un aspirante a Eiðmaðr se compromete a demostrar su valor. Conocidos como Þorfreista (Ensayos de Thor), incluyen pruebas de fe, fuerza y habilidad marcial, y son arduos de hecho. Pero la última prueba de la devoción es el juicio final, el Óðinnsfreist (Juicio de Odín), en el que el aspirante debe quitarse su propio ojo, como lo hizo el Alfaðir en busca de la sabiduría.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00048;“Fascinating! Thank you for your service, Brother [FromFrom.GetFirstName].”;"Fascinant! Merci pour votre service, Brother [From.GetFirstName].";"Faszinierend! Vielen Dank für Ihren Service, Bruder [From.GetFirstName].";;"¡Fascinante! Gracias por su servicio, Brother [From.GetFirstName].";;;;;;;;;x,,,,,,,,,,
EVTTITLE_ROBMODNORSE_00047;The First Sister of Frigg;La première soeur de Frigg;Die erste Schwester von Frigg;;La Primera Hermana de Frigg;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00047;Only men may join the Oathsmen. But at the Trúholl (Hall of Faith) where the Eiðmenn train, an order of celibate sorceresses, herbalists and soothsayers has emerged to tend the shrines, heal the wounded, and perform rituals of faith.\n\nThey are led by the beautiful [robmodnorse_firstsister.GetFirstNameWithNick] (First Sister) a powerful sorceress, who has now arrived at your court to tell you of their order. She suggests you personally sponsor the two new monastic orders, bringing them under your purview as head of the faith.;Seuls les hommes peuvent rejoindre les Oathsmen. Mais au Trúholl (salle de foi) où se formait le train d'Eiðmenn, un ordre de sorcières célibataires, d'herboristes et de devanciers a émergé pour soigner les sanctuaires, soigner les blessés et faire des rituels de foi. Ils sont dirigés par la belle [robmodnorse_firstsister.GetFirstNameWithNick] (première soeur) une puissante sorcière, qui est maintenant arrivé à votre cour pour vous informer de leur commande. Elle vous suggère de parrainer personnellement les deux nouvelles commandes monastiques, en les mettant sous votre contrôle en tant que chef de la foi.;Nur Männer können sich den Eidschützen anschließen. Aber an der Trúholl, wo der Eiðmenn-Zug, ein Befehl der Zölibat-Zauberer, Kräuterkundler und Wahrsager ist entstanden, um die Schreine zu heilen, heilen die Verwundeten und führen Rituale des Glaubens. Sie werden von der schönen [robmodnorse_firstsister.GetFirstNameWithNick] (erste Schwester) eine mächtige Zauberin geführt, die jetzt bei deinem Hof angekommen ist, um dir von ihrer Bestellung zu erzählen. Sie schlägt vor, dass Sie persönlich die beiden neuen Klosteraufträge sponsern und sie als Kopf des Glaubens in Ihre Zuständigkeit bringen.;;Sólo los hombres pueden unirse a los juramentadores. Pero en el Trúholl (salón de la fe) donde está el tren de Eiðmenn, ha surgido una orden de hechiceros célibes, herbolarios y adivinos para atender los santuarios, sanar a los heridos y realizar rituales de fe. Ellos son guiados por la hermosa [robmodnorse_firstsister.GetFirstNameWithNick] (primera hermana), una poderosa hechicera, que ha llegado a su corte para informarles de su orden. Ella sugiere que usted patrocine personalmente las dos nuevas órdenes monásticas, poniéndolas bajo su responsabilidad como cabeza de la fe.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00047;“A fine idea!”;"Une belle idée!";"Eine schöne Idee!";;"¡Una buena idea!";;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPA_ROBMODNORSE_00047;You may now visit the §GIntrigue Screen§! and take the decision to establish the Norse monastic orders;Vous pouvez maintenant visiter l'écran d'intrigue et prendre la décision d'établir les ordres monastiques nordiques;Sie können jetzt den Intrigue Screen besuchen und die Entscheidung treffen, die nordischen Klosterorden zu errichten;;Ahora puede visitar la Pantalla de Intriga y tomar la decisión de establecer las órdenes monásticas nórdicas;;;;;;;;;x,,,,,,,,,,
EVTTITLE_ROBMODNORSE_00001;The Oathsmen and the Sisters;Les hommes assermenté et les Sœurs;Die Eidmänner und die Schwestern;;Los Juramentadores y las Hermanas;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00001_01;In the name of the Allfather, [Root.GetTitledName] calls all brave Norsemen and women to do their duty for Miðgarðr! [Root.GetTitledFirstName] has established an order of warrior monks – the Eiðmaðra (Oathsmen), and an order of sorceresses, herbalists and soothsayers – the Friggjarsniptar (Sisters of Frigg). Faithful Germanic leaders are called to send worthy and able-bodied men and women to the newly erected Trúhöll (Halls of Faith) to take their place amongst the orders. May all infidels kneel before the followers of Óðinn!;Au nom de Alfaðir, [Root.GetTitledName] appelle tous les hommes Nordiques et les femmes braves à faire leur devoir envers Miðgarðr! [Root.GetTitledFirstName] a établi un ordre de moines guerriers - les Eiðmaðra (hommes assermenté), et un ordre de sorcières, d'herboristes et de devinettes - les Friggjarsniptar (Sœurs de Frigg). Les fidèles dirigeants germaniques sont appelés à envoyer des hommes et des femmes dignes et valides aux Trúhöll nouvellement érigés (salles de foi) pour prendre leur place parmi les ordres. Que tous les infidèles s'agenouillent devant les adeptes de Óðinn!;Im Namen des Alfaðir, [Root.GetTitledName] ruft alle tapferen Norsemen und Frauen, um ihre Pflicht für Miðgarðr! [Root.GetTitledFirstName] hat einen Befehl der Krieger-Mönche - die Eiðmaðra (Eidmänner) und eine Reihe von Zauberern, Kräuterkundigen und Wahrsagern - die Friggjarsniptar (Schwestern von Frigg) gegründet. Treue germanische Führer sind aufgerufen, würdige und fähige Männer und Frauen zu den neu errichteten Trúhöll (Hallen des Glaubens) zu schicken, um ihren Platz unter den Befehlen zu nehmen. Mögen alle Ungläubigen vor den Anhängern von Óðinn knien!;;En nombre del Alfaðir, [Root.GetTitledName] llama a todos los valientes Norsemen ya las mujeres a hacer su deber por Miðgarðr! [Root.GetTitledFirstName] ha establecido un orden de monjes guerreros - los Eiðmaðra (los Juramentadores), y una orden de hechiceras, herbolarios y adivinos - las Friggjarsniptar (Hermanas de Frigg). Los fieles líderes germánicos están llamados a enviar hombres y mujeres dignos y sanos a los recién erigidos Trúhöll (Salas de la Fe) para tomar su lugar entre las órdenes. ¡Que todos los infieles se arrodillen delante de los seguidores de Óðinn!;;;;;;;;;x
EVTDESC_ROBMODNORSE_00001_02;No doubt fearing for the collapse of their heathen religion, the new leader of the Norse infidels [Root.GetTitledName] has established an order of warrior monks and sorceresses – the Eiðmaðra (Oathsmen) and Friggjarsniptar (Sisters of Frigg). The Oathsmen will fight to the death to protect their land, and the Sisters stand ready to heal any warrior that survives using Godless medicine and magic.;Sans doute craint pour l'effondrement de leur religion païenne, le nouveau chef des infidèles nordiques [Root.GetTitledName] a établi un ordre de moines et sorcières guerriers - les Eiðmaðra (hommes assermenté) et Friggjarsniptar (Sœurs de Frigg). Les hommes assermenté se battront jusqu'à la mort pour protéger leurs terres, et les Sœurs sont prêtes à guérir tout guerrier qui survit en utilisant la médecine sans dieu et la magie.;Zweifellos für den Zusammenbruch ihrer heidnischen Religion, der neue Führer der nordischen Ungläubigen [Root.GetTitledName] hat eine Ordnung der Krieger Mönche und Zauberer - des Eiðmaðra (Eidmänner) und Friggjarsniptar (Schwestern von Frigg) gegründet. Die Eidmänner werden in den Tod kämpfen, um ihr Land zu beschützen, und die Schwestern stehen bereit, jeden Krieger zu heilen, der mit Gottloser Medizin und Magie überlebt.;;Sin duda temiendo por el colapso de su religión pagana, el nuevo líder de los infieles nórdicos [Root.GetTitledName] ha establecido un orden de monjes guerreros y hechiceras - los Eiðmaðra (Juramentadores) y Friggjarsniptar (Hermanas de Frigg). Los Juramentos lucharán hasta la muerte para proteger su tierra, y las Hermanas están listos para sanar a cualquier guerrero que sobreviva usando la medicina y la magia sin Dios.;;;;;;;;;x
