#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,,,
# TRAITS #;;;;;;;;;x,,,,,,,,,,,,
robmodnorse_oathseeker;Eiðsœkja;Eiðsœkja;Eiðsœkja;;Eiðsœkja;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_oathseeker_desc;'Oathseekers' take the Þorfreista (Trials of Thor) in preparation for becoming an Eiðmaðr (Oathsman). A gruelling undertaking, the aspirant learns both martial skill and spiritual devotion, both of which have their dangers. A trial generally takes around two years to complete, after which the aspirant returns to his clan, either as a full Oathsman – or branded Þor-Ómakligr (Unworthy of Thor).;Les demandeurs de serment prennent le Þorfreista (Essais de Thor) en préparation pour devenir un Eiðmaðr (hommes assermentés). Une entreprise éprouvante, l'aspirant apprend à la fois la compétence martiale et la dévotion spirituelle, qui ont tous deux leurs dangers. Un procès nécessite généralement environ deux ans pour terminer, après quoi l'aspirant retourne à son clan, soit comme un Oathsman complet - ou marque Þor-Ómakligr (Indépendant de Thor).;Eidensuchende nehmen die Þorfreista (Versuche von Thor) in Vorbereitung für ein Eiðmaðr (Eidmann). Ein anstrengendes Unternehmen, der Aspirant lernt sowohl kriegerische Geschicklichkeit als auch spirituelle Hingabe, die beide ihre Gefahren haben. Ein Prozeß dauert in der Regel etwa zwei Jahre, um zu vervollständigen, worauf der Aspirant zu seinem Clan zurückkehrt, entweder als voller Oathsman - oder gebrandet Þor-Ómakligr (unwürdig von Thor).;;Los solicitantes de juramento toman el Þorfreista (Ensayos de Thor) en preparación para convertirse en un Eiðmaðr (juramento hombre). Una empresa agotadora, el aspirante aprende habilidad marcial y devoción espiritual, que tienen sus peligros. Un juicio tarda generalmente cerca de dos años en completarse, después de que el aspirante vuelve a su clan, ya sea como un Oathsman lleno - o Þor-Marca de marca-Ómakligr (indigno de Thor).;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_firstraven_desc;This is the Hrafnfyrstr (First Raven), the leader who reformed the Norse faith. The first to take the title Oðinshrafn, this character drew up the ‘Guðaloga’ (Godlaws), thereby codifying religious practice in the Norse world. They were said to be able to speak directly with the Allfather.;C'est le Hrafnfyrstr (premier corbeau), le leader qui a réformé la foi nordique. Le premier à prendre le titre Oðinshrafn, ce personnage a dressé le 'Guðaloga' (Godlaws), codifiant ainsi la pratique religieuse dans le monde nordique. Ils ont été dits pouvoir parler directement avec Odin.;Dies ist die Hrafnfyrstr (erster Rabe), der Führer, der den nordischen Glauben reformierte. Als erster der Titel Oðinshrafn nahm dieser Charakter den "Guðaloga" (Godlaws) auf und kodifizierte damit die religiöse Praxis in der nordischen Welt. Sie sollten direkt mit Odin sprechen.;;Este es el Hrafnfyrstr (primer cuervo), el líder que reformó la fe nórdica. El primero que tomó el título Oðinshrafn, este personaje redactó el 'Guðaloga' (Godlaws), codificando así la práctica religiosa en el mundo nórdico. Se decía que podían hablar directamente con Odin.;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_ravenschild;Hrafnskind;Hrafnskind;Hrafnskind;;Hrafnskind;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_ravenschild_desc;This character is a ‘Raven’s-Child’, a descendent of the ‘Hrafnfyrstr’ (the first raven). The first Oðinshrafn of the Beyð drew up the ‘Guðaloga’ (Gods laws), thereby codifying religious practice, and was said to be able to speak directly with Odin.;Ce personnage est un «enfant de corbeau», un descendant du «Hrafnfyrstr» (le premier corbeau). Le premier Oðinshrafn du Beyð a rédigé le «Guðaloga» (loi de dieux), codifiant ainsi la pratique religieuse, et a été dit pouvoir parler directement avec Odin.;Dieser Charakter ist ein "Rabenkind", ein Nachkomme der "Hrafnfyrstr" (der erste Rabe). Der erste Oðinshrafn des Beyðs erarbeitete die "Guðaloga" (Göttergesetze) und kodifizierte damit die religiöse Praxis und sollte direkt mit Odin sprechen können.;;Este personaje es un "niño de cuervo", descendiente del "Hrafnfyrstr" (el primer cuervo). El primer Oðinshrafn del Beyð redactó la 'Guðaloga' (leyes de Dios), codificando así la práctica religiosa, y se dijo que era capaz de hablar directamente con Odin.;;;;;;;;;x;,,,,,,,,,,,
shieldmaiden;Skjaldmær;Skjaldmær;Skjaldmær;;Skjaldmær;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_aesir;Æsir-Liði;Æsir-Liði;Æsir-Liði;;Æsir-Liði;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_aesir_desc;This character is a follower of the Æsir, the mightiest pantheon of the Norse Gods.;Ce personnage est un adepte de l'Æsir, le plus grand panthéon des dieux nordiques.;Dieser Charakter ist ein Anhänger des Æsir, der mächtigste Pantheon der nordischen Götter.;;Este personaje es un seguidor del Æsir, el más poderoso panteón de los dioses nórdicos.;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_vanir;Vanir-Liði;Vanir-Liði;Vanir-Liði;;Vanir-Liði;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_vanir_desc;This character is a follower of the Vanir pantheon of Gods, associated with fertility, wisdom, nature, magic, and the ability to see the future.;Ce personnage est un adepte du panthéon des Dieux de Vanir, associé à la fertilité, à la sagesse, à la nature, à la magie et à la capacité de voir l'avenir.;Dieser Charakter ist ein Anhänger des Vanir-Pantheons der Götter, verbunden mit Fruchtbarkeit, Weisheit, Natur, Magie und der Fähigkeit, die Zukunft zu sehen.;;Este personaje es un seguidor del panteón Vanir de los dioses, asociado con la fertilidad, la sabiduría, la naturaleza, la magia y la capacidad de ver el futuro.;;;;;;;;;x;,,,,,,,,,,,
robmodnorse_ex_grand_champion;Former Kappi-Efstr;Ancien Kappi-Efstr;Ehemaliger Kappi-Efstr;;Ex Kappi-Efstr;;;;;;;;;x;,,,,,,,,,,,,
robmodnorse_ex_grand_champion_desc;This character was once the Grand Champion of the Kappa-af-Miðgarðr (Champions of Miðgarðr). Although this is no longer the case, their name lives on in legend.;Ce personnage était autrefois la Grande Champion du Kappa-af-Miðgarðr (Champions de Miðgarðr). Bien que ce ne soit plus le cas, leur nom vit en légende.;Dieser Charakter war einst der Grand Champion der Kappa-af-Miðgarðr (Meister von Miðgarðr). Obwohl dies nicht mehr der Fall ist, lebt ihr Name in der Legende.;;Este personaje fue una vez el Gran Campeón de la Kappa-af-Miðgarðr (Campeones de Miðgarðr). Aunque esto ya no es el caso, su nombre vive en la leyenda.;;;;;;;;;x;,,,,,,,,,,,
# COMPLIMENTS AND INSULTS #;;;;;;;;;x,,,,,,,,,,,,
INSULT_NORSE_FAILURE;clan-shamer;porteuse de la honte;Schande Bringer;;traidor de vergüenza;;;;;x,,,,,,,,,,,,
INSULT_NORSE_UNWORTHY;unworthy;indigne;unwürdig;;indigno de;;;;;x,,,,,,,,,,,,
COMPL_RAVCHILDM;Hrafnsson;Hrafnsson;Hrafnsson;;Hrafnsson;;;;;x,,,,,,,,,,,,
COMPL_RAVCHILDF;Hrafnsdottir;Hrafnsdottir;Hrafnsdottir;;Hrafnsdottir;;;;;x,,,,,,,,,,,,
COMPL_RAVCHILDCHILD;Hrafnskind;Hrafnskind;Hrafnskind;;Hrafnskind;;;;;x,,,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,,,
;;;;;;;;;;;;;;x,,,,,,,,,,,,
