#BUILDINGS;;;;;
ca_medical_1;Herbalist's Quarters;Herboristerie;Quartier des Kräuterarztes;;Boticario;;;;;;;;;x
#EVENT MODIFIERS;;;;;
1st_cure_failed;Slight complications;Complications légères.;Leichte Folgeschäden;;Leves complicaciones.;;;;;;;;;x
2nd_cure_failed;Moderate complications;Complications modérées.;Mittelmäßige Folgeschäden;;Moderadas complicaciones.;;;;;;;;;x
syphilitic_cure_failed;Worsened infection;Complications sévères.;Schlechter werdende Folgeschäden;;Infección agravada.;;;;;;;;;x
plague_cure_failed;Lethal complications;Complications mortelles.;Tödliche Folgeschäden;;Letales complicaciones.;;;;;;;;;x
pneumonic_cure_failed;Grave complications;Complications sérieuses.;Lebensgefährliche Folgeschäden;;Graves complicaciones.;;;;;;;;;x
resistance_disease_lvl_1;Herbological Knowledge;Connaissance en plantes médicinales;Herbologischen Wissen;;Conocimiento de la herbolaria.;;;;;;;;;x
resistance_disease_lvl_2;Galenic Medicine;Médecine galénique;Galenische Medizin;;Tratamiento Galenico.;;;;;;;;;x
#MINOR TITLE;;;;;
title_court_healer;Court Physician;Médecin de la cour;Leibarzt;;Fisico de la Corte;;;;;;;;;x
title_court_healer_desc;The Court Physician is responsible for the health of the ruling family and is called upon in times of illness. ;Le médecin de la cour est responsable de la santé de la famille dirigeante et est appelé en cas de maladie.;Der Leibarzt ist für die Gesundheit der Herrscherfamilie verantwortlich und wird in Zeiten der Krankheit herbeigerufen.;;El fisico de la corte es responsable de la salud de la familia gobernante y es llamado en tiempos de enfermedad.;;;;;;;;;x
#DYNASTY CURE DECISIONS;;;;;
cure_1st_disease_dynasty;Attend to [This.GetFirstName];Prendre soin de [This.GetFirstName].;Sich um [This.GetFirstName] kümmern;;Atiende a [This.GetFirstName];;;;;;;;;x
cure_1st_disease_dynasty_desc;§Y[This.GetBestName]§! has fallen ill! ;§Y[This.GetBestName]§! est tombé malade !;§Y[This.GetBestName]§! ist erkrankt!;;§Y[This.GetBestName]§! ha caído enfermo!;;;;;;;;;x
dynasty_cure_1st_tooltip;Send the Court Physician to cure §Y[This.GetBestName]§! of [This.GetHerHis] illness! ;Envoyez le médecin de la cour pour guérir §Y[This.GetBestName]§! de cette maladie !;Entsendet Euren Leibarzt, um §Y[This.GetBestName]§! zu behandeln.;;Enviar al fisico de la corte para curar a §Y[This.GetBestName]§! de su enfermedad.;;;;;;;;;x
cure_2nd_disease_dynasty;Attend to [This.GetFirstName];Prendre soin de [This.GetFirstName].;Sich um [This.GetFirstName] kümmern;;Atiende a [This.GetFirstName];;;;;;;;;x
cure_2nd_disease_dynasty_desc;§Y[This.GetBestName]§! has fallen gravely ill! ;§Y[This.GetBestName]§! est tombé sérieusement malade.;§Y[This.GetBestName]§! ist schwer erkrankt.;;§Y[This.GetBestName]§! ha caído gravemente enfermo!;;;;;;;;;x
dynasty_cure_2nd_tooltip;Send the Court Physician to cure §Y[This.GetBestName]§! of [This.GetHerHis] illness! ;Envoyez le médecin de la cour pour guérir §Y[This.GetBestName]§! de cette maladie !;Entsendet Euren Leibarzt, um §Y[This.GetBestName]§! zu behandeln.;;Enviar al fisico de la corte para curar a §Y[This.GetBestName]§! de su enfermedad.;;;;;;;;;x
cure_syphilitic_dynasty;Attend to [This.GetFirstName];Prendre soin de [This.GetFirstName].;Sich um [This.GetFirstName] kümmern;;Atiende a [This.GetFirstName];;;;;;;;;x
cure_syphilitic_dynasty_desc;§Y[This.GetBestName]§! had been rumored to have contracted syphilis! ;§Y[This.GetBestName]§! semble avoir contracté la syphilis !;Es wird gemunkelt, dass §Y[This.GetBestName]§! Syphilis haben soll! ;;Se rumorea que §Y[This.GetBestName]§! ha contraido sífilis.;;;;;;;;;x
dynasty_cure_syphilitic_tooltip;Send the Court Physician to treat §Y[This.GetBestName]§! ;Envoyez le médecin soigner §Y[This.GetBestName]§! !;Entsendet Euren Leibarzt, um §Y[This.GetBestName]§! zu versorgen.;;Enviar a el fisico de la corte para tratar a §Y[This.GetBestName]§!.;;;;;;;;;x
cure_plague_dynasty;Attend to [This.GetFirstName];Prendre soin de [This.GetFirstName].;Sich um [This.GetFirstName] kümmern;;Atiende a [This.GetFirstName];;;;;;;;;x
cure_plague_dynasty_desc;§Y[This.GetBestName]§! has been infected with the plague! ;§Y[This.GetBestName]§! a été infecté par la peste !;§Y[This.GetBestName]§! ist mit der Pest verseucht.;;§Y[This.GetBestName]§! ha contraido la temible peste!.;;;;;;;;;x
dynasty_cure_plague_tooltip;Send the Court Physician to see to §Y[This.GetBestName]§! ;Envoyez le médecin de la cour pour examiner §Y[This.GetBestName]§! .;Entsendet Euren Leibarzt, um sich §Y[This.GetBestName]§! anzusehen.;;Enviar al fisico de la corte a ver a §Y[This.GetBestName]§!.;;;;;;;;;x
cure_pneumonic_dynasty;Attend to [This.GetFirstName];Prendre soin de [This.GetFirstName].;Sich um [This.GetFirstName] kümmern;;Atiende a [This.GetFirstName];;;;;;;;;x
cure_pneumonic_dynasty_desc;§Y[This.GetBestName]§! has contracted pneumonia! ;§Y[This.GetBestName]§! a contracté la pneumonie !;§Y[This.GetBestName]§! hat eine Lungenentzündung!;;§Y[This.GetBestName]§! ha contraido neumonía!.;;;;;;;;;x
dynasty_cure_pneumonic_tooltip;Send the Court Physician to cure §Y[This.GetBestName]§! ;Envoyez le médecin de la cour pour soigner §Y[This.GetBestName]§!.;Entsendet Euren Leibarzt, um §Y[This.GetBestName]§! zu behandeln.;;Enviar al fisico de la corte a curar a §Y[This.GetBestName]§!.;;;;;;;;;x
#SPOUSE CURE DECISIONS;;;;;
cure_1st_disease_spouse;Attend to Spouse ;Prendre soin du conjoint.;Sich um Ehepartner kümmern;;Curar esposa.;;;;;;;;;x
cure_1st_disease_spouse_desc;Your spouse has fallen ill!  ;Votre conjoint est tombé malade.;Eurer Ehepartner ist erkrankt!;;¡Tu esposa ha caido enferma!.;;;;;;;;;x
spouse_cure_1st_tooltip;Send the Court Physician to cure your spouse.  ;Envoyez le médecin soigner votre conjoint.;Entsendet Euren Leibarzt, um Euren Ehepartner zu behandeln.;;Enviar al fisico de la corte a curar a tu esposa.;;;;;;;;;x
cure_2nd_disease_spouse;Attend to Spouse ;Prendre soin du conjoint.;Sich um Ehepartner kümmern;;Curar esposa.;;;;;;;;;x
cure_2nd_disease_spouse_desc;Your spouse has fallen gravely ill!  ;Votre conjoint est tombé sérieusement malade.;Eurer Ehepartner ist schwer erkrankt.;;Tu esposa ha caido gravemente enferma.;;;;;;;;;x
spouse_cure_2nd_tooltip;Send the Court Physician to cure your spouse.  ;Envoyez le médecin de la cour guérir votre conjoint.;Entsendet Euren Leibarzt, um Euren Ehepartner zu behandeln.;;Enviar al fisico de la corte a curar a tu esposa.;;;;;;;;;x
cure_syphilitic_spouse;Attend to Spouse ;Prendre soin du conjoint.;Sich um Ehepartner kümmern;;Curar esposa.;;;;;;;;;x
cure_syphilitic_spouse_desc;Your spouse has contracted syphilis!  ;Votre conjoint a contracté la syphilis !;Eurer Ehepartner hat Syphilis! ;;Tu esposa ha contraido sífilis.;;;;;;;;;x
spouse_cure_syphilitic_tooltip;Send the Court Physician to treat your spouse.  ;Envoyez le médecin de la cour pour soigner votre conjoint.;Entsendet Euren Leibarzt, um Euren Ehepartner zu versorgen.;;Enviar al fisico de la corte para tratar a tu esposa.;;;;;;;;;x
cure_plague_spouse;Attend to Spouse ;Prendre soin du conjoint.;Sich um Ehepartner kümmern;;Curar esposa;;;;;;;;;x
cure_plague_spouse_desc;Your spouse has been infected with the plague!  ;Votre conjoint a été infecté par la peste !;Euer Ehepartner ist mit der Pest verseucht.;;Tu esposa ha contraido la plaga.;;;;;;;;;x
spouse_cure_plague_tooltip;Send the Court Physician to see to your spouse.  ;Envoyez le médecin de la cour examiner votre conjoint.;Entsendet Euren Leibarzt, um sich Euren Ehepartner anzusehen.;;Enviar al fisico de la corte para tratar a tu esposa.;;;;;;;;;x
cure_pneumonic_spouse;Attend to Spouse ;Prendre soin du conjoint.;Sich um Ehepartner kümmern;;Curar esposa.;;;;;;;;;x
cure_pneumonic_spouse_desc;Your spouse has contracted pneumonia!  ;Votre conjoint a contracté la pneumonie !;Euer Ehepartner hat eine Lungenentzündung!;;Tu esposa ha contraido neumonía.;;;;;;;;;x
spouse_cure_pneumonic_tooltip;Send the Court Physician to cure your spouse. ;Envoyez le médecin de la cour guérir votre conjoint.;Entsendet Euren Leibarzt, um Euren Ehepartner zu behandeln.;;Enviar al fisico de la corte para tratar a tu esposa.;;;;;;;;;x
#SELF CURE DECISIONS;;;;;
cure_1st_disease_self;Summon Physician ;Convoquez le médecin.;Leibarzt herbeirufen;;Llamar al fisico.;;;;;;;;;x
cure_1st_disease_self_desc;You have fallen ill!  ;Vous êtes malade.;Ihr seid erkrankt!;;¡Has caido enfermo!.;;;;;;;;;x
self_cure_1st_tooltip;Summon the Court Physician to cure your illness.  ;Convoquez le médecin pour guérir votre maladie.;Entsendet Euren Leibarzt, um eurch zu behandeln!;;Llamar al fisico de la corte para curar tu enfermedad.;;;;;;;;;x
cure_2nd_disease_self;Summon Physician ;Convoquez le médecin.;Leibarzt herbeirufen;;Llamar al fisico.;;;;;;;;;x
cure_2nd_disease_self_desc;You have fallen gravely ill! ;Vous êtes sérieusement malade.;Ihr seid schwer erkrankt!;;¡Has caido gravemente enfermo!.;;;;;;;;;x
self_cure_2nd_tooltip;Summon the Court Physician to cure your illness.  ;Convoquez le médecin pour guérir votre maladie.;Entsendet Euren Leibarzt, um eurch zu behandeln!;;Llamar al fisico de la corte para curar tu enfermedad.;;;;;;;;;x
cure_syphilitic_self;Summon Physician ;Convoquez le médecin.;Leibarzt herbeirufen;;Llamar al fisico.;;;;;;;;;x
cure_syphilitic_self_desc;You have contracted syphilis!  ;Vous avez contracté la syphilis !;Ihr habt Syphilis!;;¡Has contraido la sífilis!.;;;;;;;;;x
self_cure_syphilitic_tooltip;Summon the Court Physician to treat your syphilis.  ;Convoquez le médecin pour soigner votre syphilis.;Entsendet Euren Leibarzt, um Euch zu versorgen!;;Llamar al fisico de la corte para tratar tu sífilis.;;;;;;;;;x
cure_plague_self;Summon Physician ;Convoquez le médecin.;Leibarzt herbeirufen;;Llamar al fisico.;;;;;;;;;x
cure_plague_self_desc;You have been infected with the plague!  ;Vous avez été infecté par la peste !;Ihr seid mit der Pest verseucht!;;¡Te has infectado de la plaga!.;;;;;;;;;x
self_cure_plague_tooltip;Summon the Court Physician to see to you.  ;Convoquez le médecin pour vous examiner.;Entsendet Euren Leibarzt, um sich Euch anzusehen!;;Llamar al fisico de la corte para tratar la plaga.;;;;;;;;;x
cure_pneumonic_self;Summon Physician ;Convoquez le médecin.;Leibarzt herbeirufen;;Llamar al fisico.;;;;;;;;;x
cure_pneumonic_self_desc;You have contracted pneumonia!  ;Vous avez contracté la pneumonie !;Ihr habt eine Lungenentzündung!;;¡Te has contagiado de neumonía¡.;;;;;;;;;x
self_cure_pneumonic_tooltip;Summon the Court Physician to cure your illness. ;Convoquez le médecin pour guérir votre maladie.;Entsendet Euren Leibarzt, um eurch zu behandeln!;;Llamar al fisico de la corte para tratar tu neumonía.;;;;;;;;;x
#COMMON EVENT LOCALISATIONS;;;;;
average_physician_tooltip;Your physician is of average skill and may not be able to treat more threatening illnesses. ;Votre médecin est moyennement qualifié et ne pourrait ne pas être en mesure de traiter les maladies les plus dangereuses.;Euer Leibarzt ist von durchschnittlicher Fähigkeit und könnte daher nicht in der Lage sein, noch bedrohlichere Krankheiten erfolgreich zu behandeln.;;Tu médico es de habilidad promedio y puede no ser capaz de tratar las enfermedades más amenazantes.;;;;;;;;;x
good_physician_tooltip;Your physician's skill is exceptional and thus has a significant chance of success with most illnesses. ;Votre médecin est exceptionnellement talentueux et de ce fait a de bonne chance de guérir la plupart des maladies.;Euer Leibarzt ist von außerordenticher Fähigkeit und kann es folglich mit den meisten Krankheiten erfolgreich aufnehmen. ;;La habilidad de tu médico es excepcional y por lo tanto tiene una posibilidad significativa de éxito con la mayoría de las enfermedades.;;;;;;;;;x
cure_cancel_attempt;Stop! Let the disease run its course. Only [Root.Religion.GetRandomGodName] can grant life. ;Arrêtez ! Laissez la maladie suivre son cours. Seul [Root.Religion.GetRandomGodName] peut accorder la vie.;Halt! Lasst der Krankheit ihren Lauf. Nur [Root.Religion.GetRandomGodName] kann Leben gewähren.;;¡Deténganse! Dejen que la enfermedad siga su curso. Sólo [Root.Religion.GetRandomGodName] puede conceder la vida y la muerte.;;;;;;;;;x
2nd_cure_works_chance;the cure will result in the patient's full recovery;Le remède permet le rétablissement complet du patient.;- die Behandlung wird zu vollständiger Genesung führen;;¡La cura resulto en la recuperación total del paciente!.;;;;;;;;;x
cure_results_in_death_chance;the cure will fail and result in the patient's death;Le remède échoue et le patient meurt.;- die Behandlung wird fehlschlagen und den Tod des Patienten nach sich ziehen;;¡La cura fallo y causo la muerte del paciente!.;;;;;;;;;x
cure_results_in_death_chance_self;the cure will fail and result in your death!;Le remède échoue et vous mourez !;- die Behandlung wird fehlschlagen und Euren Tod nach sich ziehen;;¡La cura fallo y provoco tu muerte!;;;;;;;;;x
#DYNASTY MEMBER CURE EVENT LOCALISATIONS, FROM is the person being cured;;;;;
EVTDESCMEDPER6;The physician has arrived and has begun preparing the necessary salves and potions. You wait anxiously as he works, but are slightly calmed by his confidence. Finally, the physician turns to you and informs you that your [GetFromRelation] will most likely make a speedy recovery, if [Root.Religion.GetRandomGodName] sees fit to grant [From.GetHerHim] such. ;Le médecin arrive et commence à préparer les onguents et les potions. Vous patientez nerveusement pendant son travail, mais vous vous apaisez en voyant son air confiant. Le médecin finit par se tourner vers vous et vous informe que votre [GetFromRelation] se rétablira promptement si [Root.Religion.GetRandomGodName] décide de [From.GetHerHim] accorder cette faveur.;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Salben und Tränke begonnen. Ihr wartet gespannt, als er mit der Behandlung beginnt. Seine Zuversicht beruhigt Euch etwas. Schließlich wendet sich Euer Leibarzt an Euch und informiert Euch, dass [From.GetFirstName] wohl bald wieder völlig genesen wird, wenn [Root.Religion.GetRandomGodName] es für richtig hält, dies zu gewähren.;;El fisico ha llegado y ha comenzado la preparación de los ungüentos y pociones necesarias. Esperas ansiosamente mientras él trabaja, pero estás un poco calmado por su confianza. Por último, el fisico se dirige a ti y te informa que tu [GetFromRelation] es muy probable que tenga una pronta recuperación, si [Root.Religion.GetRandomGodName] se ve en condiciones de conceder a [From.GetHerHim] tal favor.;;;;;;;;;x
1st_tier_cure_option_others;Administer the medicine. Let us pray [Root.Religion.GetRandomGodName] will be kind. ;Dispenser le médicament. Prions la bonté de [Root.Religion.GetRandomGodName].;Verabreicht die Medizin. Lasst uns beten, dass [Root.Religion.GetRandomGodName] gändig sein wird.;;Administrar el medicamento. Oremos por que [Root.Religion.GetRandomGodName] sea misericordioso.;;;;;;;;;x
EVTDESCMEDPER9;The cure was a success! [From.GetFirstName] fully recovered thanks to your physician's timely intervention. Such hands are truly blessed by [Root.Religion.GetRandomGodName]! ;Le remède fut efficace. [From.GetFirstName] est complètement rétabli grâce à l'intervention opportune de votre médecin. Ces mains sont vraiment bénies par [Root.Religion.GetRandomGodName] !;Die Behandlung war ein Erfolg! [From.GetFirstName] hat sich, dank des rechtzeitigen Eingreifens Eures Leibarztes, vollständig erholt. Seine Hände sind wirklich von [Root.Religion.GetRandomGodName] gesegnet!;;¡La cura ha sido un éxito!. [From.GetFirstName] gracias a la oportuna intervención de el fisico esta totalmente recuperado. ¡Estas manos estan verdaderamente bendecidas por [Root.Religion.GetRandomGodName]!.;;;;;;;;;x
cure_others_success_option;Rejoice!;Réjouissez-vous !;Frohlocket!;;¡Gran Regocijo!.;;;;;;;;;x
EVTDESCMEDPER10;[Root.Religion.GetRandomGodName] unfortunately did not see fit to heal [From.GetFirstName]. [From.GetSheHeCap] will have to confront the sickness and any complications from the cure on [From.GetHerHis] own.;[Root.Religion.GetRandomGodName] n'a malheureusement pas jugé bon de guérir [From.GetFirstName]. [From.GetSheHeCap] devra faire face à la maladie et des complications pour sa guérison sont à prévoir.;[Root.Religion.GetRandomGodName] hielt es wohl leider nicht für angebracht, um [From.GetFirstName] die Heilung zu schenken. [From.GetSheHeCap] muss sich wohl auf einen beschwerlichen Krankheitsverlauf und auf Folgeschäden der Behandlung gefasst machen.;;[Root.Religion.GetRandomGodName] lamentablemente no considero necesario sanar a [From.GetFirstName]. [From.GetSheHeCap] tendrán que enfrentarse a la enfermedad y las complicaciones derivadas de la cura a [From.GetHerHis] por su cuenta.;;;;;;;;;x
cure_others_failure_option;We must pray more fervently for [From.GetFirstName]'s recovery! ;Nous devons prier avec plus de ferveur pour la guérison de [From.GetFirstName] !;Wir müssen inbrünstiger für [From.GetFirstName]'s Genesung beten!;;Debemos orar más fervientemente por la recuperación de [From.GetFirstName].;;;;;;;;;x
EVTDESCMEDPER11;The physician has arrived and has begun preparing the necessary salves and potions. You wait anxiously as he works, praying silently that [Root.Religion.GetRandomGodName] will have mercy on [From.GetFirstName]. Finally, the physician informs you there is a chance the cure may not work, but he will do all he can. ;Le médecin arrive et commence à préparer les onguents et les potions. Vous patientez nerveusement pendant son travail, priant [Root.Religion.GetRandomGodName] d'être miséricordieux envers [From.GetFirstName]. Le médecin vous informe enfin qu'il existe une chance que le remède ne fonctionne pas, mais qu'il fera tout ce qu'il peut.;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Salben und Tränke begonnen. Ihr wartet gespannt, als er mit der Behandlung beginnt, und betet still, dass [Root.Religion.GetRandomGodName] Erbarmen mit [From.GetFirstName] haben möge. Schließlich informiert Euch Euer Leibarzt, dass die Möglichkeit besteht, dass die Behandlung keinen Erolg haben könnte.;;El fisico ha llegado y ha comenzado la preparación de los ungüentos y pociones necesarias. Esperas ansiosamente mientras él trabaja, rezando en silencio para que [Root.Religion.GetRandomGodName] tenga piedad de [From.GetFirstName]. Por último, el fisico te informa que hay una posibilidad de que la curación pueda no funcionar, pero él hará todo lo que pueda.;;;;;;;;;x
2nd_tier_cure_option_others;Administer the medicine. Let us hope that [Root.Religion.GetRandomGodName] will help [From.GetFirstName]. ;Dispenser le médicament. Espèrons que [Root.Religion.GetRandomGodName] aidera [From.GetFirstName].;Verabreicht die Medizin! Hoffen wir, dass [Root.Religion.GetRandomGodName] [From.GetFirstName] hilft.;;Administrar el medicamento. Esperemos que [Root.Religion.GetRandomGodName] ayude a [From.GetFirstName].;;;;;;;;;x
EVTDESCMEDPER12;The physician has arrived and has begun preparing the necessary salves. You wait anxiously outside as he works, praying silently that [Root.Religion.GetRandomGodName] will have mercy on [From.GetFirstName]. Before administering, however, the physician informs you that the cure may not work. ;Le médecin arrive et commence à préparer les onguents. Vous attendez nerveusement à l'extérieur pendant son travail, priant [Root.Religion.GetRandomGodName] d'être miséricordieux envers [From.GetFirstName]. Avant l'administration du remède, le médecin vous informe que les chances de guérisons sont minces.;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Salben und Tränke begonnen. Ihr wartet gespannt im Nebenraum, und betet still, dass [Root.Religion.GetRandomGodName] Erbarmen mit [From.GetFirstName] haben möge. Vor der Verabreichung benachrichtigt Euch Euer Leibarzt allerdings, dass die Behandlung möglicherweise nicht erfolgreich sein wird.;;El fisico ha llegado y ha comenzado la preparación de los bálsamos necesarios. Esperas ansiosamente fuera mientras él trabaja, rezando en silencio para que [Root.Religion.GetRandomGodName] tenga piedad de [From.GetFirstName]. Antes de la administración, sin embargo, el fisico te informa que la cura puede no funcionar.;;;;;;;;;x
syphilitic_cure_option_others;Apply the medicine. May this curse be lifted from [From.GetFirstName]. ;Appliquez le remède. Que soit chassée cette malédiction.;Wendet die Medizin an! Möge dieser Fluch [From.GetFirstName] verlassen.;;Aplicar el medicamento. Que esta maldición será levantada del cuerpo de [From.GetFirstName].;;;;;;;;;x
EVTDESCMEDPER14;[Root.Religion.GetRandomGodName] has unfortunately willed that [From.GetFirstName] would not recover. [From.GetSheHeCap] will soon be laid to rest after a period of mourning. ;[Root.Religion.GetRandomGodName] n'est malheureusement pas intervenu auprès de [From.GetFirstName]. [From.GetSheHeCap] aura ses funérailles après une période de deuil.;[Root.Religion.GetRandomGodName] hat sich wohl dafür entschlossen, dass [From.GetFirstName] nicht wiederhergestellt werden soll. [From.GetSheHeCap] wird nach einer Zeit der Trauer zur letzten Ruhe gebettet werden.;;[Root.Religion.GetRandomGodName] ha querido que por desgracia [From.GetFirstName] no se recuperara. [From.GetSheHeCap] pronto será llevado a descansar después de un período de luto.;;;;;;;;;x
cure_others_death_option;[Root.Religion.GetRandomGodName] has granted [From.GetHerHim] rest. ;[Root.Religion.GetRandomGodName] lui a accordé le sommeil éternel.;[Root.Religion.GetRandomGodName] hat [From.GetHerHim] Frieden gewährt.;;[Root.Religion.GetRandomGodName] ha concedido a [From.GetHerHim] el descanso.;;;;;;;;;x
EVTDESCMEDPER15;The physician has arrived, but the look on his face is that of pure terror. You wait anxiously outside as he works, praying silently that [Root.Religion.GetRandomGodName] will have mercy on [From.GetFirstName]. The physician exits the chamber and informs you that he will do all he can, but [From.GetFirstName] may die. ;Le médecin est arrivé, mais son regard reflète le désespoir. Vous attendez anxieux à l'extérieur pendant qu'il s'affaire, priant [Root.Religion.GetRandomGodName] d'accorder sa pitié à [From.GetFirstName]. Quand le médecin est sorti de la chambre, il vous a annoncé qu'il a fait tout ce qu'il pouvait, mais [From.GetFirstName] peut mourir.;Euer Leibarzt ist eingetroffen doch der Ausdruck auf seinem Gesicht ist voller Sorge. Ihr wartet gespannt im Nebenraum, und betet still, dass [Root.Religion.GetRandomGodName] Erbarmen mit [From.GetFirstName] haben möge. Euer Leibarzt verlässt das Gemach und benachichtigt Euch, dass er alles tun wird, was in seiner Macht steht, aber dass [From.GetFirstName] dennoch sterben könnte.;;El fisico ha llegado, pero la expresión de su cara es de puro terror. Esperas ansiosamente afuera mientras él trabaja, rezando en silencio para que [Root.Religion.GetRandomGodName] tenga piedad de [From.GetFirstName]. El fisico sale de la cámara y te informa que va a hacer todo lo posible, pero que [From.GetFirstName] puede morir.;;;;;;;;;x
plague_cure_option_others;May [Root.Religion.GetRandomGodName] save us from this scourge! ;Que [Root.Religion.GetRandomGodName] nous sauve de ce fléau !;Möge [Root.Religion.GetRandomGodName] uns davor bewahren!;;¡Puede acaso [Root.Religion.GetRandomGodName] salvarnos de este flagelo!.;;;;;;;;;x
