#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
robmod_create_norse_monks;Establish the Beyð monastic orders;Établir les commandes monastiques Beyð;Stellen Sie die Beyð Klosterorden fest;;Establecer las órdenes monásticas Beyð;;;;;x
robmod_order_oathsman;Order to take the Trials of Thor;Ordre de faire les essais de Thor;Um die Versuche von Thor zu nehmen;;Orden para tomar los juicios de Thor;;;;;x
robmod_order_oathsman_named;Order to take the Trials of Thor;Ordre de faire les essais de Thor;Um die Versuche von Thor zu nehmen;;Orden para tomar los juicios de Thor;;;;;x
robmod_order_oathsman_desc;[Root.GetFirstName] will take the Þorfreista and become an Eiðmaðr ('Oathsman', a powerful warrior monk). He will return in 2 years either successful or a disgraced failure. §RNote: Will take vow of celibacy and be disinherited§!;[Root.GetFirstName] prendra le Þorfreista et deviendra un Eiðmaðr ('homme assermenté', un puissant monge guerrier). Il retournera en 2 ans soit réussit, soit un échec déshonoré. Note: Prendre le vœu de célibat et être déshérité;[Root.GetFirstName] wird die Þorfreista nehmen und ein Eiðmaðr werden ('Eidmann', ein mächtiger Kriegermönch). Er wird in 2 Jahren entweder erfolgreich oder ein schändliches Versagen zurückkehren. Anmerkung: Wird das Gelübde des Zölibats nehmen und geerntet werden;;[Root.GetFirstName] tomará el Þorfreista y se convertirá en un Eiðmaðr ('hombre jurado', un poderoso monje guerrero). Regresará en 2 años ya sea con éxito o con un fracaso deshonrado. Nota: Tomará voto de celibato y será desheredado;;;;;x
robmod_order_friggsister;Nominate as Sister of Frigg;;;;;;;;;x
robmod_order_friggsister_named;Nominate as Sister of Frigg;Nommer comme Sœur de Frigg;Nominieren Sie als Schwester von Frigg;;Nominar como Hermana de Frigg;;;;;x
robmod_order_friggsister_desc;[Root.GetTitledFirstName] will go to the Trúhölla to train as a Friggjarsnipt (similar to a Christian nun). She will return in around 2 years skilled in the arts of medicine, soothsaying, and sorcery. §RNote: will take a vow of celibacy and be disqualified from succession§!;[Root.GetTitledFirstName] ira au Trúhölla pour s'entraîner comme Friggjarsnipt (semblable à une religieuse chrétienne). Elle reviendra dans environ 2 ans d'expérience dans les arts de la médecine, le devin et la sorcellerie. Note: prendra un voeu de célibat et sera disqualifié de la succession;[Root.GetTitledFirstName] wird zum Trúhölla gehen, um als Friggjarsnipt zu trainieren (ähnlich einer christlichen Nonne). Sie wird in etwa 2 Jahren in den Künsten der Medizin, Wahrsagerei und Zauberei zurückkehren. Anmerkung: wird ein Gelübde des Zölibats nehmen und aus der Nachfolge disqualifiziert werden;;[Root.GetTitledFirstName] irá a la Trúhölla para entrenar como Friggjarsnipt (similar a una monja cristiana). Ella regresará en alrededor de 2 años hábiles en las artes de la medicina, soothsaying, y la brujería. Nota: tomará un voto de celibato y será descalificado de la sucesión;;;;;x
expel_the_thorshammers;Expel the Hammers of Thor;Expulser les marteaux de Thor;Vertiefe die Hämmer von Thor;;Expulsar los martillos de Thor;;;;;x
expel_the_thorshammers_desc;I can drive the Hammers of Thor from my realm and seize their castles. However, it may anger the Gods, or even Thor himself...;Je peux conduire les marteaux de Thor de mon royaume et saisir leurs châteaux. Cependant, cela peut enflammer les dieux, ou même Thor lui-même...;Ich kann die Hämmer von Thor aus meinem Reich fahren und ihre Schlösser ergreifen. Allerdings kann es die Götter zornn, oder sogar Thor selbst...;;Puedo expulsar a los martillos de Thor de mi reino y aprovechar sus castillos. Sin embargo, puede enojar a los dioses, o incluso al propio Thor...;;;;;x
donate_money_to_thorshammers;Donate to the Hammers of Thor;Faire un don aux marteaux de Thor;Spende an die Hämmer von Thor;;Donación a los martillos de Thor;;;;;x
donate_money_to_thorshammers_desc;I can donate gold to the Hammers of Thor, in the hope of receiving a blessing from the God of War;Je peux donner de l'or aux marteaux de Thor, dans l'espoir de recevoir une bénédiction du dieu de la guerre;Ich kann Gold an die Hämmer von Thor spenden, in der Hoffnung, einen Segen vom Gott des Krieges zu empfangen;;Puedo donar oro a los Martillos de Thor, con la esperanza de recibir una bendición del Dios de la Guerra;;;;;x
norse_monastic_order_invite_sorcerer;Invite a sorcerer;Inviter un sorcier;Einen Zauberer einladen;;Invitar a un hechicero;;;;;x
norse_monastic_order_invite_sorcerer_desc;I can invite a man or woman skilled in seiðr and learned in religious matters to my court;Je peux inviter un homme ou une femme qualifiée dans seiðr et appris en matière religieuse à ma cour;Ich kann einen Mann oder eine Frau einladen, der in seiäer geschult ist und in religiösen Angelegenheiten zu meinem Gericht gelernt hat;;Puedo invitar a un hombre o una mujer experto en seiðr y aprendido en asuntos religiosos a mi corte;;;;;x
norse_monastic_order_invite_sorcerer_power_desc;Enables you to invite a man or woman skilled in seiðr and learned in religious matters to my court. This action is performed through the §Gintrigue screen.§!;;;;;;;;;x
monastic_order_norse_invite_sorcerer_tt;A sorcerer arrives in around a week;Un sorcier arrive environ une semaine;Ein Zauberer kommt in etwa einer Woche an;;Un hechicero llega en una semana;;;;;x
norse_monastic_order_heal;Attempt a healing ritual;Essayer un rituel de guérison;Versuche ein heilendes Ritual;;Intentar un ritual de sanación;;;;;x
norse_monastic_order_heal_named;Attempt a healing ritual;Essayer un rituel de guérison;Versuche ein heilendes Ritual;;Intentar un ritual de sanación;;;;;x
norse_monastic_order_heal_desc;With the help of Hvitseiðr (white magic), I can attempt to heal [Root.GetTitledFirstName] of [Root.GetHerHis] illness.;À l'aide de Hvitseiðr (magie blanche), je peux essayer de guérir [Root.GetTitledFirstName] de [Root.GetHerHis] maladie.;Mit Hvitseiðr (weiße Magie) kann ich versuchen, [Root.GetTitledFirstName] von [Root.GetHerHis] Krankheit zu heilen.;;Usando Hvitseiðr (magia blanca), puedo tratar de curar [Root.GetTitledFirstName] de la enfermedad [Root.GetHerHis].;;;;;x
norse_monastic_order_heal_power_desc;Enables you to §Gright-click§! on yourself, landed characters within your realm, close relatives or fellow society members who are ill and attempt to heal them with magic.;Vous permet de cliquer avec le bouton droit de la souris sur vous-même, atterriver des personnages dans votre domaine, des parents proches ou des membres de la société qui sont malades et tenter de les soigner avec la magie.;Ermöglicht es Ihnen, mit der rechten Maustaste auf sich selbst zu klicken, gelandete Charaktere in deinem Reich, nahen Verwandten oder Mitgesellschaftern, die krank sind und versuchen, sie mit Magie zu heilen.;;Le permite hacer clic con el botón derecho del ratón sobre usted mismo, personajes aterrizados dentro de su reino, parientes cercanos o miembros de la sociedad que están enfermos y tratar de sanarlos con magia.;;;;;x
norse_monastic_order_heal_tooltip;The success of the ritual will depend on your skills in the faith.;Le succès du rituel dépendra de vos compétences dans la foi.;Der Erfolg des Rituals hängt von Ihren Fähigkeiten im Glauben ab.;;El éxito del ritual dependerá de sus habilidades en la fe.;;;;;x
has_learnt_seidr_tt;Must have learnt seiðr (Order of the Vanir rank 2 power - see the intrigue screen);Doit avoir appris seiðr (commande de la puissance de rang 2 de Vanir - voir l'écran d'intrigue);Muss gelernt haben selekt (Auftrag der Vanir Rang 2 Macht - siehe den Intrigenschirm);;Debe haber aprendido seiðr (Orden del poder Vanir rango 2 - ver la pantalla intriga);;;;;x
norse_monastic_order_heal_success_tt;a successful healing ritual;un rituel de guérison réussi;ein erfolgreiches heilendes Ritual;;un ritual de sanación exitoso;;;;;x
norse_monastic_order_heal_failure_tt;an unsuccessful healing ritual;un rituel de guérison infructueux;ein erfolgloses heilendes ritual;;un ritual de sanación sin éxito;;;;;x
norse_monastic_order_learn_seidr;Learn seiðr;Apprendre seiðr;Lerne seiðr;;Aprender seiðr;;;;;x
norse_monastic_order_learn_seidr_named;Learn seiðr;Apprendre seiðr;Lerne seiðr;;Aprender seiðr;;;;;x
norse_monastic_order_learn_seidr_desc;Seiðr is the art of sorcery. My knowledge of the arcane is improving, but without specialist training I will not be able to access the higher realms of sorcery. I can send out a request to those learned in its practice to tutor me.;Seiðr es el arte de la brujería. Mi conocimiento del arcano está mejorando, pero sin entrenamiento especializado no podré llamar a favor de los dioses a voluntad. Puedo enviar una petición a los aprendidos en su práctica para que me enseñen.;Seiðr ist die Kunst der Zauberei. Mein Wissen über die Arkane verbessert sich, aber ohne Fachausbildung werde ich nicht in der Lage sein, die Gunst der Götter nach Belieben zu beschwören. Ich kann eine Anfrage an die in ihrer Praxis gelernten aussenden, um mich zu unterrichten.;;Seiðr es el arte de la brujería. Mi conocimiento del arcano está mejorando, pero sin entrenamiento especializado no podré llamar a favor de los dioses a voluntad. Puedo enviar una petición a los aprendidos en su práctica para que me enseñen.;;;;;x
norse_monastic_order_learn_seidr_power_desc;Enables you to send out a request for a tutor in the arts of seiðr - otherwise known as sorcery. This action is performed through the §Gintrigue screen.§!;Vous permet d'envoyer une demande de précepteur dans les arts de seiðr - également connue sous le nom de sorcellerie. Cette action se fait à travers l'écran d'intrigue.;Ermöglicht es Ihnen, eine Anfrage für einen Tutor in den Künsten von seiðr - sonst bekannt als Zauberei auszusenden. Diese Aktion wird durch den Intrigenbildschirm durchgeführt.;;Le permite enviar una solicitud de un tutor en las artes de seiðr - también conocido como brujería. Esta acción se realiza a través de la pantalla de intriga.;;;;;x
monastic_order_norse_learn_seidr_tt;A request is sent throughout the realm for a suitable tutor.;Une demande est envoyée dans tout le domaine pour un tuteur approprié.;Eine Anfrage wird im ganzen Reich für einen geeigneten Tutor gesendet.;;Se envía una solicitud a todo el reino para un tutor adecuado.;;;;;x
norse_monastic_order_curse;Attempt a curse;Essayer une malédiction;Versuche einen Fluch;;Intentar una maldición;;;;;x
norse_monastic_order_curse_named;Attempt a curse;Essayer une malédiction;Versuche einen Fluch;;Intentar una maldición;;;;;x
norse_monastic_order_curse_desc;Using Svartseiðr (black magic), I can attempt to put a curse on [Root.GetTitledFirstName].;À l'aide de Svartseiðr (magie noire), je peux essayer de mettre une malédiction sur [Root.GetTitledFirstName].;Mit Svartseiðr (schwarze Magie) kann ich versuchen, einen Fluch auf [Root.GetTitledFirstName] zu setzen.;;Usando Svartseiðr (magia negra), puedo intentar poner una maldición en [Root.GetTitledFirstName].;;;;;x
norse_monastic_order_curse_power_desc;Enables you to §Gright-click§! on enemies and attempt to curse them.;Vous permet de cliquer avec le bouton droit de la souris sur les ennemis et tenter de les maudire.;Ermöglicht es Ihnen, mit der rechten Maustaste auf Feinde zu klicken und zu versuchen, sie zu verfluchen.;;Le permite hacer clic con el botón derecho del ratón en los enemigos y tratar de maldecirlos.;;;;;x
curse_foe_tt;Enemy (rival, war opponent, known to be plotting against you);Ennemi (rival, adversaire de guerre, connu pour être complot contre vous);Feind (Konkurrenz, Kriegsgegner, der bekannt ist, gegen dich zu plotten);;Enemigo (rival, enemigo de la guerra, conocido por estar conspirando contra ti);;;;;x
curse_vassal_tt;Troublesome vassal (powerful vassal with negative opinion or in a faction);Troupe de vassal (puissant vassal avec opinion négative ou faction);Trostloser Vasall (mächtiger Vasall mit negativer Meinung oder in einer Fraktion);;Vassal problemático (vasallo poderoso con opinión negativa o en una facción);;;;;x
curse_liege_tt;Liege and you don't like it (you have a negative opinion of them, or you have the ambitious trait);Liege et vous ne l'aimez pas (vous avez une opinion négative sur eux ou vous avez le caractère ambitieux);Lüttich und du magst es nicht (du hast eine negative Meinung von ihnen, oder du hast das ehrgeizige Merkmal);;Lieja y no te gusta (tienes una opinión negativa de ellos, o tienes el rasgo ambicioso);;;;;x
curse_claimant_tt;Heir or pretender to your Primary Title;Héritier ou prétendant à votre titre principal;Erben oder Prätendenten zu deinem Primärtitel;;Heredero o pretendiente a su título principal;;;;;x
is_cursed_tt;Must not have already attempted to curse them in the last 10 years;Ne pas avoir essayé de les maudire au cours des 10 dernières années;Muss nicht schon in den letzten 10 Jahren versucht haben, sie zu verfluchen;;No debe haber intentado ya maldecirlos en los últimos 10 años;;;;;x
curse_effect_tooltip;I can choose to curse with infertility, unpopularity, or ill-health, and the success of the ritual will depend on my skills in the faith. However, an unsuccessful curse has a small chance of resulting in me becoming possessed.;Je peux choisir de maudire avec l'infertilité, l'impopularité ou la mauvaise santé, et le succès du rituel dépendra de mes compétences dans la foi. Cependant, une malédiction infructueuse a peu de chances de faire en sorte que je devienne possédé.;Ich kann beschließen, mit Unfruchtbarkeit, Unbeliebtheit oder Krankheit zu fluchen, und der Erfolg des Rituals hängt von meinen Fähigkeiten im Glauben ab. Allerdings hat ein erfolgloser Fluch eine kleine Chance, in mir zu werden, besessen zu werden.;;Puedo elegir maldecir con infertilidad, impopularidad o mala salud, y el éxito del ritual dependerá de mis habilidades en la fe. Sin embargo, una maldición infructuosa tiene una pequeña posibilidad de resultar en mi posesión.;;;;;x
norse_champions_learn_to_swordfight;Improve your swordsmanship;Améliorez votre style d'épée;Verbessere deine Schwertkunst;;Mejore su esgrima;;;;;x
norse_champions_learn_to_swordfight_named;Find a tutor in swordsmanship;Améliorez votre style d'épée;Verbessere deine Schwertkunst;;Mejore su esgrima;;;;;x
norse_champions_learn_to_swordfight_desc;As a budding Champion of Miðgarðr, you can send out a request for a tutor in swordsmanship. This will improve your personal combat rating, and may have other benefits for your personality too.;En tant que Champion en herbe d'Miðgarðr, vous pouvez envoyer une demande pour un tuteur à l'épée;Als ein knospender Champion von Miðgarðr, können Sie eine Anfrage für einen Tutor in Schwertkunst senden;;Como un Campeón en ciernes de Miðgarðr, puede enviar un pedido de un tutor en esgrima;;;;;x
norse_champions_learn_to_swordfight_power_desc;Enables you to send out a request for a tutor in the arts of swordsmanship. This action is performed through the §Gintrigue screen.§!;Vous permet d'envoyer une demande de titulaire dans les arts de l'épée.;Ermöglicht es Ihnen, eine Anfrage für einen Tutor in den Künsten der Schwertkunst zu senden.;;Le permite enviar una solicitud de un tutor en las artes de la esgrima.;;;;;x
norse_champions_learn_swordfighting_tt;A request is sent throughout the realm for a suitable tutor.;;;;;;;;;x
norse_champions_issue_challenge;Kappir-Holmgang Challenge;Le défi du champion;Champions Herausforderung;;Desafío del campeón;;;;;x
norse_champions_issue_challenge_named;Kappir-Holmgang Challenge;Le défi du champion;Champions Herausforderung;;Desafío del campeón;;;;;x
norse_champions_issue_challenge_desc;Challenge this fellow Champion of Miðgarðr to a Holmgang (a duel), where you can gain serious respect §Y(Hreysti)§! if you win. If [Root.GetFirstName] refuses, [Root.GetSheHe] will be banished from the Champions.;Défiez ce champion d'Miðgarðr à un duel, où vous pouvez obtenir un respect sérieux si vous gagnez. Si [Root.GetFirstName] refuse, [Root.GetSheHe] sera bannie des Champions;Fordern Sie diesen Kollegen von Miðgarðr zu einem Duell heraus, wo Sie ernsthaften Respekt gewinnen können, wenn Sie gewinnen. Wenn [Root.GetFirstName] sich weigert, wird [Root.GetSheHe] von den Champions verbannt;;Desafía a este compañero Campeón de Miðgarðr a un duelo, donde puedes ganar un respeto serio si ganas. Si [Root.GetFirstName] se niega, [Root.GetSheHe] será desterrado de los Campeones;;;;;x
norse_champions_issue_challenge_power_desc;Enables you to §Gright-click§! on another member of the Champions and challenge them to Holmgang (a duel). The winner will earn much respect §Y(Hreysti)§!. Only Drengrs (rank 3 Champions) may challenge the Kappi-Eftsr.;Vous permet de §Right-click§! Sur un autre membre des champions et les défier à un duel. Le gagnant gagnera beaucoup de respect (Hreysti).;Ermöglicht es Ihnen, §Right-click§! Auf ein anderes Mitglied der Champions und fordere sie zu einem Duell heraus. Der Gewinner wird viel Respekt verdienen (Hreysti).;;Le permite hacer haga clic con el botón derecho En otro miembro de los campeones y los desafía a un duelo. El ganador ganará mucho respeto (Hreysti).;;;;;x
has_fought_duel_tt;Must not have fought in Holmgang in the last 12 months;Ne pas avoir combattu un duel au cours des 12 derniers mois;Muss in den letzten 12 Monaten kein Duell gekämpft haben;;No debe haber peleado un duelo en los últimos 12 meses;;;;;x
not_your_squire_tt;Is NOT your squire;N'est-ce pas ton écuyer;Ist nicht dein Knappen;;No es tu escudero;;;;;x
norse_champions_acquire_weapon;Seek out a weaponsmith;Chercher un maître d'armes;Suche einen Waffenschmied;;Busque un herrero de armas;;;;;x
norse_champions_acquire_weapon_named;Seek out a weaponsmith;Chercher un Armurerie;Suche einen Waffenschmied;;Busque un herrero de armas;;;;;x
norse_champions_acquire_weapon_desc;As a famous Champion of Miðgarðr, every weaponsmith in the land wants you to use their steel - what businessman doesn't like product placement? Invite one to forge you a weapon - they will give you one off the shelf for free, or charge you an affordable rate for a more bespoke weapon.;En tant que Champion célèbre de Miðgarðr, tous les armateurs dans le pays veulent que vous utilisiez leur acier - ce que l'homme d'affaires n'aime pas le placement de produits? Invitez-en un à vous forger une arme - ils vous donneront gratuitement l'un de l'étagère ou vous factureront un tarif abordable pour une arme plus spécialisée.;Als berühmter Champion von Miðgarðr will jeder Waffenschmied im Lande ihren Stahl benutzen - was kauft der Geschäftsmann keine Produktplatzierung? Laden Sie ein, um Ihnen eine Waffe zu schmieden - sie geben Ihnen eine aus dem Regal kostenlos, oder laden Sie eine erschwingliche Rate für eine maßgeschneiderte Waffe.;;Como un campeón famoso de Miðgarðr, cada weaponmith en la tierra quiere que usted utilice su acero - ¿qué hombre de negocios no le gusta la colocación de productos? Invite a uno a forjarle un arma - que le dará uno de la plataforma de forma gratuita, o le cobrará una tarifa asequible para un arma más a medida.;;;;;x
norse_champions_acquire_weapon_power_desc;Enables you to invite a weaponsmith to forge you a blade at a discount. This action is performed through the §Gintrigue screen.§!;Vous permet d'inviter un maître d'armes à vous forger une lame à rabais.;Ermöglicht es Ihnen, einen Waffenschmied einzuladen, um Ihnen eine Klinge mit einem Rabatt zu schmieden.;;Le permite invitar a un herrero de armas para forjarle una hoja con un descuento.;;;;;x
norse_champions_acquire_weapon_tt;A request is sent throughout the realm for the best weaponsmith money can buy.;Une demande est envoyée dans tout le domaine pour la meilleure arme que l'argent peut acheter.;Eine Anfrage wird im ganzen Reich für die besten Waffenschmied Geld zu kaufen.;;Una petición se envía a través del reino para que el mejor arma que el dinero del forjador pueda comprar.;;;;;x
norse_champions_intimidate;Intimidate;Intimider;Einschüchtern;;Intimidar;;;;;x
norse_champions_intimidate_named;Intimidate;Intimider;Einschüchtern;;Intimidar;;;;;x
norse_champions_intimidate_desc;As a fearsome Champion of Miðgarðr, you can intimidate [Root.GetFirstName] into owing you a favour. They will not be best pleased, however.\n§Y[Root.GetTitledFirstName]'s§! opinion of you changes by §R-25§! for §Y5 years§!.\nYour chance of success depends on your rank within the Champions. Characters owning a higher tier title than you are harder to intimidate, whereas craven characters will almost always scare.;Avec votre statut de Champion de Miðgarðr, vous pouvez intimider ce personnage en vous remerciant.;Mit deinem Status als Champion von Miðgarðr kannst du diesen Charakter einschüchtern, um dir einen Gefallen zu geben.;;Con su condición de Campeón de Miðgarðr, puede intimidar a este personaje para que le deba un favor.;;;;;x
norse_champions_intimidate_power_desc;Enables you to §Gright-click§! on another character and intimidate them into owing you a favour.;Vous permet de clic-droit sur un autre personnage et les intimider pour vous rendre une faveur.;Ermöglicht es Ihnen, §Right-click§! auf einen anderen Charakter und einschüchtern sie dir einen Gefallen.;;Le permite hacer Haga clic con el botón derecho sobre otro personaje e intimidarlos para que le de un favor.;;;;;x
norse_champions_intimidate_fail_tt;the intimidation failing!;l'intimidation échoue!;die Einschüchterung versagt!;;la intimidación falla!;;;;;x
norse_champions_challenge_grand_champion;Challenge the Kappi-Eftsr;Défiez le Kappi-Eftsr;Herausforderung;;Desafío de la Kappi-Eftsr;;;;;x
norse_champions_challenge_grand_champion_named;Challenge the Kappi-Eftsr;Défiez le Kappi-Eftsr;Herausforderung;;Desafío de la Kappi-Eftsr;;;;;x
norse_champions_challenge_grand_champion_desc;Challenge the Kappi-Eftsr of the Champions of Miðgarðr to a Holmgang (a duel) to defend their title. If [Root.GetFirstName] loses, [Root.GetSheHe] will leave the Champions and you will almost certainly be crowned the next Grand Champion.;Défiez le Kappi-Eftsr des Champions de Miðgarðr à un Holmgang (un duel) pour défendre leur titre. Si [Root.GetFirstName] perd, [Root.GetSheHe] quittera les Champions et vous serez presque certainement couronné le prochain Grand Champion.;Fordern Sie die Kappi-Eftsr der Meister von Miðgarðr zu einem Holmgang (ein Duell), um ihren Titel zu verteidigen. Wenn [Root.GetFirstName] verliert, wird [Root.GetSheHe] die Champions verlassen und du wirst fast sicher den nächsten Grand Champion gekrönt werden.;;Desafía a los Kappi-Eftsr de los Campeones de Miðgarðr a un Holmgang (un duelo) para defender su título. Si [Root.GetFirstName] pierde, [Root.GetSheHe] dejará a los Campeones y casi con toda seguridad se coronará el próximo Gran Campeón.;;;;;x
norse_champions_challenge_grand_champion_power_desc;Enables you to §Gright-click§! on the Kappi-Eftsr and challenge them to defend their tile in Holmgang. If you win, they will leave the Champions and you will almost certainly be crowned the next Grand Champion;Vous permet de §Gclic-droit§! Sur le Kappi-Eftsr et les défier de défendre leurs carreaux à Holmgang. Si vous gagnez, ils quitteront les Champions et vous serez presque certainement couronné le prochain Grand Champion;Ermöglicht es Ihnen, §GRechtsklick§! Auf dem Kappi-Eftsr und fordere sie auf, ihre Fliesen in Holmgang zu verteidigen. Wenn du gewinnst, werden sie die Champions verlassen und du wirst fast sicher den nächsten Grand Champion gekrönt werden;;Permite §Gbotón derecho del ratón§! En el Kappi-Eftsr y desafiarlos a defender su baldosa en Holmgang. Si ganas, saldrán de la Champions y seguramente serás coronado el próximo Gran Campeón;;;;;x
