honest_trusting_or_kind;You have this option because you are §YHonest§!, §YKind§! or §YTrusting§!. ;Cette option est disponible car vous possédez la caractéristique §YHonest§!, §YKind§! ou §YTrusting§!.;Ihr habt diese Option, da Ihr §YEhrlich§!, §YGütig§! oder §YTreuherzig§! seid. ;;Tienes esta opción porque eres §YHonesto§!, §YAmable§! o §YConfiado§!.;;;;;;;;;x
EVTDESCPEROBS1;One night, while observing the stars, you notice a bright, red light emerge in the sky. You are not sure what it is, but nothing like this has ever been recorded before.;Une nuit, tandis que vous observez les étoiles, vous remarquez l'apparition d'une lumière rouge brillante. Vous ne savez pas ce que c'est, mais rien de tel n'a jamais été enregistré auparavant.;Eines Nachts, während Ihr die Sterne beobachtet, seht Ihr ein helles, rotes Licht am Himmel auftauchen. Ihr seid nicht sicher, was es ist, aber Ihr habt nichts dergleichen jemals zuvor erblickt.;;Una noche, mientras observas las estrellas, vez una luz roja brillante que emerge en el cielo. No estás seguro de lo que es, pero nada como esto nunca se ha registrado antes.;;;;;;;;;x
weird_anomaly_cynical_option;What an anomaly! I shall record its position in my journal. ;Quelle anomalie ! Je vais noter sa position dans mon journal.;Welche Absonderheit! Ich werde ihre Position in meinem Tagebuch vermerken.;;¡Que anomalía! Voy registrar su posición en mi diario.;;;;;;;;;x
weird_anomaly_cynical_become;It is just another star in the sky.;Il s'agit juste d'une autre étoile dans le ciel.;Es ist nur ein weiterer Stern am Himmelszelt.;;Es sólo otra estrella en el cielo.;;;;;;;;;x
weird_anomaly_fear_god;It is a sign of the end times! ;C'est un signe de la fin des temps !;Es ist ein Zeichen der Endzeit!;;¡Es un signo de fin de los tiempos!.;;;;;;;;;x
weird_anomaly_sign_of_god;[Root.Religion.GetRandomGodName] has favored me and sent me a sign! ;[Root.Religion.GetRandomGodName] m'a favorisé et m'envoie un signe !;[Root.Religion.GetRandomGodName] hat mich begünstigt und schickte mir ein Zeichen!;;¡[Root.Religion.GetRandomGodName] me ha favorecido y me envió una señal!;;;;;;;;;x
you_understand_sign_of_god;believing you have been chosen by [Root.Religion.GetRandomGodName] to lead humanity into a new age! ;Vous croyez avoir été choisi par [Root.Religion.GetRandomGodName] pour guider l'humanité vers une nouvelle ère.;- glaubt, dass Ihr von [Root.Religion.GetRandomGodName] auserwählt wurdet, die Menschheit in ein neues Zeitalter zu führen. ;;Crees que has sido elegido por [Root.Religion.GetRandomGodName] para llevar a la humanidad a una ¡nueva era!.;;;;;;;;;x
you_went_nuts;driving yourself insane trying to figure out what the sign truly means. ;Vous devenez fou en cherchant la réelle signification de ce signe.;- treibt sich selbst in den Wahnsinn, bei dem Versuch herauszufinden, was das Zeichen wirklich bedeutet. ;;Te vuelves loco tratando de averiguar lo que el signo significa realmente.;;;;;;;;;x
it_was_the_opposite_of_god;believing the sign is an illusion sent by the Dread One to torment you. ;Vous croyez que le signe est en réalité une illusion diabolique afin de vous tourmenter.;- glaubt, das Zeichen sei eine teuflische Illusion um Euch zu quälen. ;;Crees que el signo es una ilusión enviada por un demonio para atormentarte.;;;;;;;;;x
normal_breaks_dummies;Curses!;Malédiction !;Verflucht!;¡Maldición!;;;;;;;;;;x
cure_possessed_courtier;Expel Demons;Chasser les démons du courtisan possédé.;Treibe Dämon von besessenen Höfling aus;;Expulsar los demonios de un Cortesano Poseido;;;;;;;;;x
cure_possessed_courtier_desc;A member of the court has been possessed by a malevolent demon. I must do all I can to purge this evil!;Un membre de la cour a été possédé par un démon maléfique. Je dois faire tout mon possible pour purger ce mal !;Ein Mitglied des Hofes wurde von einem bösartigen Dämon besessen. Ich muss alles daran setzen, dieses Übel zu bereinigen!;;Un miembro de la corte ha sido poseído por un demonio malévolo. ¡Tengo que hacer todo lo posible para purgar este mal!.;;;;;;;;;x
chapel_start_cure;You make arrangements to purge the spirit from your courtier. ;Vous vous préparez pour libérer votre courtisan de l'esprit malin.;Ihr trefft Vorkerhrungen, um die Seele Eures Höflings reinzuwaschen.;;Usted hace los arreglos para purgar el espíritu de su cortesano.;;;;;;;;;x
EVTDESCCHAPER2;"I have summoned a holy man from the far reaches of the realm to rid my court of the evil spirit that plagues [From.GetFirstName]. We drag  [From.GetHerHim] into the chapel and the holy man begins reciting a prayer to [Root.Religion.GetRandomGodName]. [From.GetFirstName]'s body convulses violently and an unholy voice laughs and says: ""You have no power here!""";J'ai convoqué un saint homme des confins du royaume pour débarasser ma cour de l'esprit malin qui afflige [From.GetFirstName]. Nous [From.GetHerHim] traînons dans la chapelle et le saint homme commence à réciter une prière à [Root.Religion.GetRandomGodName]. Le corps de [From.GetFirstName] se convulse violemment et une voix impie rit de dit :"Vous n'avez aucun pouvoir ici !";Ich habe einen heiligen Mann aus den Weiten des Reiches herbeigerufen, um meinen Hof von dem Dämon zu befreien, der [From.GetFirstName] plagt. Wir ziehen [From.GetHerHim] in die Kapelle und der heilige Mann richtet ein Gebet an [Root.Religion.GetRandomGodName]. [From.GetFirstName]'s Körper zuckt heftiger, als würde eine unheilige Stimme lachen und sagen: 'Du hast hier keine Macht!';;"He convocado a un hombre santo de los confines del reino para librar a mi corte del espíritu del mal que asola a [From.GetFirstName]. Arrastramos a [From.GetHerHim] hacia la capilla y el hombre santo comienza recitando una oración a [Root.Religion.GetRandomGodName]. El cuerpo de [From.GetFirstName] convulsiona violentamente y una voz impía se ríe y dice: ""¡No tienes poder aquí"".";;;;;;;;;x
possessed_use_fire;Purge the demon with fire and flame!;Expier le démon par le feu et les flammes !;Den Dämon mit Feuer und Flamme austreiben!;;¡Purgar el demonio con el fuego y la llama!;;;;;;;;;x
fire_cures_possessed;the flames expel the demon from the body. ;Les flammes chassent le démon du corps.;- die Flammen vertreiben den Dämon aus dem Körper. ;;Las llamas expulsan al demonio del cuerpo.;;;;;;;;;x
fire_doesnt_cure_possessed;the flames have no effect. ;Les flammes n'ont aucun d'effet.;- die Flammen haben keinerlei Effekt. ;;Las llamas no tienen ningún efecto.;;;;;;;;;x
possessed_use_words;We must call out more fervently to [Root.Religion.GetRandomGodName]!;Nous devons prier [Root.Religion.GetRandomGodName] avec davantage de ferveur !;Wir müssen inbrünstiger zu [Root.Religion.GetRandomGodName] beten!;;¡Debemos rezar con mayor fervor a [Root.Religion.GetRandomGodName]!.;;;;;;;;;x
words_cure_possessed;the fear of [Root.Religion.GetRandomGodName] grips the demon and expels it. ;La crainte de [Root.Religion.GetRandomGodName] saisi le démon et l'expulse.;- die tiefe Furcht vor [Root.Religion.GetRandomGodName] ergreift den Dämon und gibt den Körper frei. ;;El miedo a [Root.Religion.GetRandomGodName] toma al demonio y lo expulsa.;;;;;;;;;x
words_dont_cure_possessed;the incantation has no effect. ;Les prières n'ont aucun effet.;- die Gebete haben keinerlei Effekt. ;;El conjuro no tiene efecto.;;;;;;;;;x
EVTDESCCHAPER7;You command that a torch be brought to the chapel. The demon curses more vehemently as the flames draw near and the convulsions become more violent. Your men restrain the body and the holy man draws the flame to [From.GetFirstName]'s arm. Both [From.GetSheHe] and the demon scream in agony, and then silence. A holy calm settles upon [From.GetFirstName], and [From.GetSheHe] smiles before falling asleep.;Vous ordonnez l'apport d'une torche à la chapelle. Les malédictions du démons se font plus véhémentes alors que les flammes s'approchent et les convulsions deviennent plus violentes. Vos hommes retiennent le corps et le saint homme approche la flamme du bras de [From.GetFirstName]. Les deux crient à l'agonie, puis le silence s'installe. Une atmosphère paisible s'installe et [From.GetFirstName] sourit avant de s'endormir.;Ihr befehlt, dass eine Fackel in die Kapelle gebracht werden soll. Sowie die Flammen sich der geplagten Seele nähern, werden die Krämpfe beinahe unkontrollierbar. Eure Männer bändigen den Körper, während der Geistliche die Flamme zu [From.GetFirstName]'s Brust zieht. [From.GetSheHe] schreit vor Schmerzen auf, der Dämon scheint sich zu winden und zu quälen, und dann … Stille. Eine heilige Ruhe ergreift [From.GetFirstName].;;Tomas una antorcha que esta en la capilla. El demonio maldice con más vehemencia a medida que las llamas se acercan y las convulsiones se vuelven más violentas. Tus hombres agarran el cuerpo y el hombre santo atrae la llama al brazo de [From.GetFirstName]. Tanto [From.GetSheHe] como el demonio gritan en agonía, y luego silencio. Una santa calma se asienta sobre [From.GetFirstName], y [From.GetSheHe] sonrie antes de caer dormido.;;;;;;;;;x
fire_worked_on_possessed;[From.GetFirstName] was gravely burned, but the evil is gone! Praise [Root.Religion.GetRandomGodName]!;[From.GetFirstName] a été gravement brûlé, mais le malin est parti ! Louez [Root.Religion.GetRandomGodName] !;[From.GetFirstName] wurde schwer verbrannt, doch das Böse ist gewichen! Gelobt sei [Root.Religion.GetRandomGodName]!;;[From.GetFirstName] fue gravemente quemado, pero el mal ¡se ha ido!. Alabanza a [Root.Religion.GetRandomGodName].;;;;;;;;;x
EVTDESCCHAPER8;You command that a torch be brought to the chapel. The demon curses more vehemently as the flames draw near and the convulsions become more violent. Your men restrain the body and the holy man draws the flame to [From.GetFirstName]'s arm. Suddenly, the flame goes out and the spirit's hideous laugh fills the halls of the chapel.;Vous ordonnez l'apport d'une torche à la chapelle. Les malédictions du démons se font plus véhémentes alors que les flammes s'approchent et les convulsions deviennent plus violentes. Vos hommes retiennent le corps et le saint homme approche la flamme du bras de [From.GetFirstName]. Soudain, la flamme s'éteint et l'horrible rire du démon emplit la salle.;Ihr befehlt, dass eine Fackel in die Kapelle gebracht werden soll. Sowie die Flammen sich der geplagten Seele nähern, werden die Krämpfe beinahe unkontrollierbar. Eure Männer bändigen den Körper, während der Geistliche die Flamme zu [From.GetFirstName]'s Brust zieht. [From.GetSheHe] schreit vor Schmerzen auf und der Gestank von verbranntem Fleich erfüllt den heiligen Ort. Ihr habt keinen Erfolg.;;Tomas una antorcha que esta en la capilla. El demonio maldice con más vehemencia a medida que las llamas se acercan y las convulsiones se vuelven más violentas. Tus hombres agarran el cuerpo y el hombre santo atrae la llama al brazo de [From.GetFirstName]. De repente, la llama se apaga y risa horrible del espíritu se llena los pasillos de la capilla.;;;;;;;;;x
fire_didnt_work_on_possessed;[Root.Religion.GetRandomGodName], forgive me!;[Root.Religion.GetRandomGodName], pardonnez-moi !;[Root.Religion.GetRandomGodName], vergib mir!;;¡[Root.Religion.GetRandomGodName], perdóname!;;;;;;;;;x
EVTDESCCHAPER9;The holy man approaches [From.GetFirstName] and lays hands upon [From.GetHerHim]. He shudders visibly and then begins to recite another prayer. The spirit resumes its taunts, but the holy man overpowers it by shouting louder until his voice fills the room. All of a sudden, the body convulses violently and a deafening scream comes from [From.GetFirstName]'s mouth before [From.GetSheHe] collapses. The spirit has left [From.GetHerHim]. ;Le saint homme s'approche de [From.GetFirstName] et pose ses mains sur [From.GetHerHim]. Il frémit visiblement et commence alors à réciter une autre prière. L'esprit reprend ses railleries, mais le saint homme le domine en psalmodiant plus fort, jusqu'à ce que sa voie emplisse la pièce. Tout à coup, le corps se convulse et un cri assourdissant provient de la bouche de [From.GetFirstName] avant qu'[From.GetSheHe] ne s'évanouisse. L'esprit a quitté le corps.;Der Geistliche nähert sich [From.GetFirstName] und legt seine Hände auf das Haupt des Geplagten. Mit geschlossenen Augen stimmt er einen Sprechgesang an, der einige Zeit andauert. Als der Geistliche seine Augen öffnet, hält er dem Gepeinigten ein Kreuz vor das Gesicht, woraufhin der Körper von [From.GetFirstName] tief erschüttert wird und [From.GetHerHim], nach einem langen befreienden Ausatmen, eine tiefe Ruhe überkommt.;;El hombre santo se acerca a [From.GetFirstName] y pone las manos sobre [From.GetHerHim]. Se estremece visiblemente y luego comienza a recitar otra oración. El espíritu reanuda sus burlas, pero el hombre santo domina por gritar más fuerte hasta que su voz llena la habitación. De repente, el cuerpo se convulsiona violentamente y un grito ensordecedor sale de [From.GetFirstName] antes de que [From.GetSheHe] se colapse. El espíritu ha dejado a [From.GetHerHim].;;;;;;;;;x
words_worked_on_possessed;[From.GetFirstName] is cured! Praise be to [Root.Religion.GetRandomGodName]!;[From.GetFirstName] est guéri ! Louez soit [Root.Religion.GetRandomGodName]!;[From.GetFirstName] ist befreit! Gepriesen sei [Root.Religion.GetRandomGodName]!;;¡[From.GetFirstName] se ha curado! ¡Alabado sea [Root.Religion.GetRandomGodName]!.;;;;;;;;;x
EVTDESCCHAPER10;The holy man approaches [From.GetFirstName] and lays hands upon [From.GetHerHim]. He shudders visibly and then begins to recite another prayer. The spirit resumes its taunts, and the holy man shakes visibly. The unholy voices get louder and louder until the holy man screams in terror and collapses, still shaking. You decide to leave before the situation gets worse. ;Le saint homme s'approche de [From.GetFirstName] et pose ses mains sur [From.GetHerHim]. Il frémit visiblement et commence alors à réciter une autre prière. L'esprit reprend ses railleries, et le saint homme vacille visiblement. Les voix profanes deviennent de plus en plus fortes jusqu'à ce que le saint homme hurle de terreur et s'effondre, se convulsant encore. Vous décidez de quitter la pièce avant que la situation n'empire.;Der Geistliche nähert sich [From.GetFirstName] und legt seine Hände auf das Haupt des Geplagten. Mit geschlossenen Augen stimmt er einen Sprechgesang ein, der einige Zeit andauert. Als der Geistliche seine Augen öffnet, hält er dem Gepeinigten ein Kreuz vor das Gesicht, was allerding noch heftigere Krämpfe auslöst, und keinen Erfolg hat. Ihr verzweifelt, und gebt die Hoffnung auf, die arme Seele je von dem Dämon befreien zu können.;;El hombre santo se acerca a [From.GetFirstName] y pone las manos sobre [From.GetHerHim]. Se estremece visiblemente y luego comienza a recitar otra oración. El espíritu reanuda sus burlas, y el hombre santo se sacude visiblemente. Las voces profanas obtienen más y más fuerza hasta que el santo hombre grita de terror y se derrumba, todavía temblando. Usted decide irse antes de que la situación empeore.;;;;;;;;;x
words_didnt_work_on_possessed;[Root.Religion.GetRandomGodName], forgive me!;[Root.Religion.GetRandomGodName], pardonnez moi !;[Root.Religion.GetRandomGodName], vergib mir!;;¡[Root.Religion.GetRandomGodName], perdóname!.;;;;;;;;;x
punished_cruel_trayar;Angry;Furieux;Zornig;;Enojado.;;;;;;;;;x
EVTDESCTRAYAR7;"Your [GetFromRelation] was sparring with another child when suddenly, you hear the child scream out in pain repeatedly. You rush to the training yard to see the child lying in a small pool of blood and immediately send for a physician. Your [GetFromRelation] seems unaffected by the scene and simply says to you: ""He deserved it. He insulted me."" ";[From.GetFirstName] s'exerce au combat avec un autre enfant quand tout à coup, vous entendez l'enfant hurler continuellement de douleur. Vous vous précipitez au terrain d'exercice pour voir l'enfant affalé dans une petite mare de sang, puis emmené voir un médecin. Votre [GetFromRelation] ne semble que peu affecté par l'incident, et vous explique :'Il le méritait. Il m'a insulté !'.;Auf dem Übungsplatz sparrt [From.GetFirstName] mit einem anderen Kind, als Ihr plötzlich hört, wie das Kind wiederholt vor Schmerz zu schreien beginnt. Sowie Ihr zum Übungsplatz eilt und seht, wie das Kind in einer kleinen Blutlache liegt, schickt Ihr augenblicklich nach einem Arzt. Euer [GetFromRelation] scheint von dem Vorfall völlig unberührt und sagt Euch nur: 'Er hat es verdient, er hat mich beleidigt!'.;;"Tu [GetFromRelation] se peleaba con otro niño cuando, de repente, se oye al niño gritar de dolor en varias ocasiones. Se precipita al patio de entrenamiento para ver al niño acostado en un pequeño charco de sangre y envias inmediatamente por un médico. Tu [GetFromRelation] parece no estar afectado por la escena y simplemente te dice: ""Se lo merecía Él me insultó.."".";;;;;;;;;x
encourage_cruel_ward;Might makes right. Let no one impugn your honor.;La force est le pouvoir. Ne permettez à personne de porter atteinte à votre honneur.;Macht geht vor Recht. Lass niemals zu, dass jemand deine Ehre anfechtet.;;El poder hace el derecho. Que nadie impugne su honor.;;;;;;;;;x
ward_stays_cruel;your ward earns a reputation for being ruthless ;Désormais, votre pupille est réputée pour être impitoyable.;Euer Mündel verdient den Ruf, rücksichtslos zu sein.;;Tu guardia te ha ganado la reputación de ser despiadado.;;;;;;;;;x
punish_cruel_ward;You too will get exactly what you deserve, you impudent whelp!;Vous aussi allez obtenir exactement ce que vous méritez, morveux !;Auch dir wird genau das widerfahren, was du verdienst, Bengel!;;También tu recibirás exactamente lo que te mereces,¡niño insolente!.;;;;;;;;;x
talk_to_cruel_ward;You must learn to live kindly lest [Root.Religion.GetRandomGodName] punish you for your cruelty.;Vous devriez chercher le salut dans l'humilité, ou [Root.Religion.GetRandomGodName] vous punira pour votre cruauté.;Du musst dich in Sanftmut üben. [Root.Religion.GetRandomGodName] hasst den Zorn!;;Debes aprender a vivir amablemente no sea que [Root.Religion.GetRandomGodName] pueda castigarte por tu crueldad.;;;;;;;;;x
EVTDESCTRAYAR12;Fifteen lashes later, your [GetFromRelation] vows between sobs that [From.GetSheHe] will never inflict such harm on another person again.;Après quinze coups de fouet, votre [GetFromRelation] jure entre deux sanglots qu'[From.GetSheHe] n'infligera plus jamais un tel préjudice à autrui.;Fünfzehn Peitschenhiebe später schwört [From.GetFirstName] schluchzend, keiner Person jemals wieder solchen Schaden zuzufügen. ;;Quince latigazos más tarde, tu [GetFromRelation] te dice que [From.GetSheHe] ha prometido entre sollozos que nunca va a infligir tal daño a otra persona de nuevo.;;;;;;;;;x
trayar12option;Very good. ;Très bien.;Sehr gut.;;Muy bien;;;;;;;;;x
EVTDESCTRAYAR13;No amount of lashes could break [From.GetFirstName]'s will. [From.GetSheHe] seems unrepentant and refuses to admit [From.GetSheHe] was ever unjustified in wounding the child.;La volonté de [From.GetFirstName] ne se brise pas, quelque soit le nombre de coups de fouet. [From.GetSheHe] semblent impénitent et refuse d'admettre qu'il n'y avait aucune justification à blesser l'enfant.;Auch noch so viele Peitschenhiebe können den Willen [From.GetFirstName]'s nicht brechen. [From.GetSheHe] scheint ohne Reue zu sein und weigert sich zuzugeben, dass es nicht gerechtfertigt war, dass Kind so zu verletzen.;;Ninguna cantidad de latigazos podría romper la voluntad de [From.GetFirstName]. [From.GetSheHe] no parece arrepentido y se niega a admitir que [From.GetSheHe] fue injustificado herir al niño.;;;;;;;;;x
trayar13option;Why, you... ;Pourquoi...;Warum willst du nicht gehorchen …;;POr que.. TU...;;;;;;;;;x
EVTDESCTRAYAR14;Your lectures on the value of kindness seem to actually have had an effect on young [From.GetFirstName]. [From.GetSheHe] can now be seen around the castle looking to aid anyone in need.;Votre sermon sur la valeur de la bonté semble avoir fait son chemin dans la tête de [From.GetFirstName]. [From.GetSheHe] est maintenant vu aux alentours du châteaux cherchant toute personne dans le besoin.;Euer Vortrag über den hohen Wert der Freundlichkeit scheint tatsächlich einen positiven Einfluss auf [From.GetFirstName] gehabt zu haben, [From.GetSheHe] ist nun des öfteren dabei zu beobachten, wie [From.GetSheHe] versucht, anderen Menschen zu helfen.;;Tus conferencias sobre el valor de la bondad parecen realmente haber tenido un efecto en el joven [From.GetFirstName]. [From.GetSheHe] ahora se puede ver por el castillo en busca de ayudar a cualquier persona en necesidad.;;;;;;;;;x
trayar14option;Very good. ;Très bien.;Ausgezeichnet.;;Muy bien;;;;;;;;;x
EVTDESCTRAYAR15;Your fiery lectures have terrified your ward in believing that the wrath of [Root.Religion.GetRandomGodName] will fall upon [From.GetHerHim]. [From.GetSheHe] now spends hours in prayer and refuses to even touch a sword.;Votre sermon enflammé a terrifié votre pupille. Il croit que la colère de [Root.Religion.GetRandomGodName] va tomber sur [From.GetHerHim]. [From.GetSheHe] passe maintenant des heures entières à prier et refuse même de toucher une épée.;Eure feurigen Vorträge haben Eurem Mündel die Furcht gelehrt, der Zorn von [Root.Religion.GetRandomGodName] könne auf [From.GetHerHim] niederfallen.;;Sus conferencias de fuego han aterrorizado a su pupilo en la creencia de que la ira de [Root.Religion.GetRandomGodName] caerá sobre [From.GetHerHim]. [From.GetSheHe] ahora pasa horas en oración y se niega a siquiera tocar una espada.;;;;;;;;;x
trayar15option;This was not what I had intended.;Ce n'est pas ce que je voulais.;Das ist nicht, was ich damit beabsichtigt hatte.;;Esto no era lo que yo había previsto.;;;;;;;;;x
improve_martial_education;Seek a Tutor;Chercher un tuteur;Suche einen Lehrer;;Buscar un tutor.;;;;;;;;;x
improve_martial_education_desc;Your inadequate education in the martial arts could be remedied if you could find someone willing to teach you.;Votre maladresse dans les arts martiaux fait de vous la risée de la cour. Vous pourriez y rémédier si quelqu'un est prêt à vous enseigner.;Eurer unzureichenden Ausbildung in des Künsten des Kampfes könnte abgeholfen werden, wenn Ihr jemanden finden könntet, der bereit wäre, Euch auszubilden.;;Su falta de educación en las artes dela guerra podría remediarse si se pudiera encontrar a alguien dispuesto a enseñarle.;;;;;;;;;x
martial_ed_improve_tooltip;My marshal has volunteered to take me under his tutelage.;Mon maréchal s'est porté volontaire pour me prendre sous tutelle.;Mein Marshall hat zugestimmt, mich in Kampftechniken zu unterrichten.;;Mi mariscal se ha ofrecido a llevarme bajo su tutela.;;;;;;;;;x
improve_theological_education;Seek a Tutor;Chercher un tuteur;Suche einen Lehrer;;Buscar un tutor.;;;;;;;;;x
improve_theological_education_desc;Your inadequate knowledge of theology could be remedied if you could find someone willing to teach you.;Vos questions et votre ignorance sur les questions théologiques sont consternantes. Si seulement quelqu'un était prêt à vous enseigner sur le sujet.;Eurem unzureichendem Wissensstand in den Bereichen der Theologie könnte abgeholfen werden, wenn Ihr jemanden finden könntet, der bereit wäre, Euch zu unterrichten.;;Su conocimiento inadecuado de la teología podría remediarse si se pudiera encontrar a alguien dispuesto a enseñarle.;;;;;;;;;x
theological_ed_improve_tooltip;My court minister has volunteered to take me under his tutelage.;Mon conseiller spirituel s'est porté volontaire pour me prendre sous tutelle.;Der Geistliche meines Hofes hat zugestimmt, mich zu unterrichten.;;Mi ministro de la corte se ha ofrecido a llevarme bajo su tutela.;;;;;;;;;x
EVTDESCTRAYAR17;After bleeding your treasury dry on new equipment for the training yard, [From.GetFirstName] begins the long and arduous process of teaching you the basics of combat. You struggle to keep up with the manuevers and technique, but [From.GetFirstName] shows you no mercy.;Après avoir saigné le trésor pour les nouveaux équipements du terrain d'exercice, [From.GetFirstName] entame votre enseignement long et difficile des rudiments du combat. Vous avez du mal à suivre les mouvements et les techniques, mais [From.GetFirstName] reste impitoyable.;Nachdem Ihr, durch den Kauf neuer Ausrüstung für den Übungsplatz, wieder freien Raum in Eurer Schatzkammer geschaffen habt, beginnt [From.GetFirstName] damit, Euch in langen und mühseligen Lehrstunden, die Grundlagen des Kampfes beizubringen.;;Después de sangrar la tesorería en nuevos equipos para la palestra, [From.GetFirstName] comienza el largo y arduo proceso de enseñanza de los conceptos básicos de combate. Luchas para mantenerte al día con las maniobras y técnicas, pero [From.GetFirstName] no tiene piedad.;;;;;;;;;x
martial_improve_start_option;Step right and parry...;Un pas à droite, puis parer...;Einen Schritt nach rechts, dann parieren …;;Paso a la derecha y parar ...;;;;;;;;;x
